str_no_string|PRÁZDNÝ STRING!
str_tutorial_info_6|Nádhera! Přeješ-li si, můžeš nabít a střílet znovu.^ Stiskni levé tlačítko myši a počkej, až bude zbraň nabitá - trvá to několik vteřin, měj proto trpělivost. Pamatuj, že během dobíjení se nemůžeš pohybovat.^Pokud máš dojem, že už ti střelba jde, pokračuj do prostoru vyznačeného šipkou vlevo.
str_tutorial_info_7|Během bitvy může nastat chvíle, kdy je lepší utkat se s Frantíky pěkně tělo na tělo. A proto je tvá mušketa vybavena bajonetem.^Tvá zbraň je ale nyní v ""palebném režimu"". Bajonet nasadíš tak, že přepneš do režimu ""kontaktního boje"". Změnu provedeš pomocí tlačítka ""X"". Stiskni ho."
str_tutorial_info_8|Perfektní. Nyní se můžeš s vycpanými panáky utkat na ostří nože.^ALE! Ještě než se proti nim rozeběhneš, musím ti prozradit důležitou věc.^Nemusíš celou dobu stát, můžeš si také kleknout. Zaklekni stiskem klávesy ""Z""."
str_tutorial_info_9|Dobře! Tvoje postava zaklekla. A protože zbraň je připravena v režimu ""kontaktního boje"", svírá voják bajonet. Toto postavení je výhodné, pokud čelíš útoku jezdectva.^Vstaň a pokračuj. Postavit se můžeš stiskem klávesy ""Z"" nebo pohybem v libovolném směru."
str_tutorial_info_10|A nyní si procvičíme útok a obranu. Stiskni levé tlačítko a pohni myší ve směru, kterým si přeješ útočit. Mušketou s nasazeným bajonetem můžeš udeřit buď nahoru nebo dolů. Jiné zbraně lze používat jinak. Například mečem se můžeš rozhánět ve čtyřech směrech: nahoru, dolů, doleva a doprava. Útok provedeš tak, že levé tlačítko myši pustíš.^Obrana funguje podobně. Přidrž pravé tlačítko a myší pohni do směru, ze kterého přichází útok. Každá ze zbraní může blokovat údery ze všech čtyř stran. Vždy musíš zaujmout správné obranné postavení, jinak si tě žabožrouti podají.^^Nyní si procvič boj s bajonetem na připravených panácích.
str_tutorial_info_11|Dobrá práce!
str_tutorial_info_12|Když teď ovládáš základy pěchotního boje, procvičíme si také jízdu na koni.^Máš krásně vyleštěnou zbroj a nádherného koně. Nasedneš tak, že se ke zvířeti přiblížíš a stiskneš tlačítko ""F""."
str_tutorial_info_13|Sedí se ti pohodlně? To je dobře. K pohybu slouží klávesy ""WASD"", zásady jízdního přesunu se ale drobně liší: klávesou ""W"" zvýšíš rychlost a klávesou ""S"" ji snížíš";" klávesy ""A"" a ""D"" slouží ke změně směru. Pohybem myši se můžeš rozhlížet po okolí, automaticky tím ale změníš i směr jízdy. Zkus nyní dojet na místo označené šipkou."
str_tutorial_info_14|Úžasné! A teď koně zastav. Konečně nastal čas naučit se střílet ze sedla. Vidíš ty cíle támhle v dálce? Střelba z koňského hřbetu se podobá střelbě ze země, využij tedy toho, co už umíš, a zasáhni připravený terč.
str_tutorial_info_15|U čerta smradlavýho! Vedle! Nic se neděje. Nabij a zkus to znovu. Pamatuj, že i na koni se při střelbě nesmíš hýbat. Nabij a zkus to znovu.
str_tutorial_info_16|Teď se ti to povedlo! Jestli chceš, můžeš ještě procvičovat.^^Až uznáš za vhodné, představíme si slasti jízdního kontaktního boje. Budeš potřebovat meč. Meč vytasíš tak, že posuneš kolečko myši dopředu.
str_tutorial_info_17|Bravo! Pokračuj, pokud chceš. Pamatuj, že i na koni se při střelbě nesmíš hýbat.^^Až uznáš za vhodné, představíme si slasti jízdního kontaktního boje. Budeš potřebovat meč. Meč vytasíš tak, že posuneš kolečko myši dopředu.
str_tutorial_info_18|I zde platí, že kontaktní boj ze sedla se podobá boji na zemi. Projeď podél panáků a znič je.^Snaž se je zasáhnout v trysku. Pokud zastavíš, ztratíš rychlost a pohyblivost. Pokud si úder dobře načasuješ, nestihne si nepřítel ani všimnout, že je mrtvý.
str_tutorial_info_19|Krása! Teď už ovládáš ty nejdůležitější aspekty jízdního boje.
str_tutorial_info_20|A teď! Je čas na dělostřelecký výcvik.^Dojdi k dělu a vezmi si munici z bedny.^^Známe tři druhy střeliva:^Koule má mnoho použití, ale nejvíce se hodí proti budovám;^Kartáč tvoří množství kuliček, které zabijí každého, kdo stojí před hlavní, vůbec se ale nehodí ke střelbě na velkou vzdálenost;^Výbušné granáty jsou skvělé v boji proti pěchotě. Po výbuchu se po okolí rozletí velké množství ocelových střepin. Výbušné granáty ale nelze nabít do běžných děl.
str_tutorial_info_21|Střelu založ do děla zpředu. Postav se tak, aby se zobrazil text ""Nabít"", přidrž klávesu ""F"" a počkej, dokud se dělo nenabije."
str_tutorial_info_22|Nyní musíš dělo napěchovat nabíječem. Opět se postav k hlavni a drž klávesu ""F"", dokud nebude hotovo."
str_tutorial_info_23|Před výstřelem musíš dělo posunout vpřed. Podívej se na něj a přidrž klávesu ""F""."
str_tutorial_info_24|Nyní se podívej na kořen hlavně tak, aby se zobrazil text ""Ovládat"". Poté stiskni klávesu ""F""."
str_tutorial_info_25|Dělo máš teď ve své moci! Myší zaměř. Stiskem levého tlačítka myši vystřelíš, stiskem pravého od děla ustoupíš. Pro teď stiskni levé tlačítko a vystřel.
str_tutorial_info_26|A to je konec výcviku. Nyní ovládáš základy boje ve hře Mount&Blade: Napoleonic Wars. Stiskem klávesy ""Tab"" výcvik ukončíš.^^Hodně štěstí na bojišti! Rozchod na čaj a sušenky!"
str_vienna_1|Vybraných beden: {reg0}/{reg1}
str_austerlitz_1_1|Vln odřaženo: {reg0}/{reg1}
str_dresden_1_1|Útočníků poraženo: {reg0}/{reg1}
str_dresden_1_2|Vln odraženo: {reg0}/{reg1}
str_dresden_2_1|Čtverců zničeno: {reg0}/{reg1}
str_dresden_2_2|Řad zničeno: {reg0}/{reg1}
str_cutscene_vienna_1|Dunaj, druhá nejdelší řeka Evropy, dělí Rakouské císařství na dvě části. ^Po svém neúspěšném tažení na Ulm se rakouská armáda vrací přes řeku k Vídni.
str_cutscene_vienna_2|Francouzská hrotová garda je ale nedaleko. ^Všechny mosty byly zničeny, a přechod u Vídně je proto pro Francouze klíčový.
str_cutscene_vienna_3|Pokud Rakušané francouzský záměr prohlédnou, most vyhodí do povětří. ^Podaří-li se jim to, Francouzi budou muset pronásledování vzdát a jejich vítězství u Ulmu přijde vniveč.
str_cutscene_vienna_4|Francouzští maršálci Murat a Lannes nemají snadnou pozici.^Musejí se dostat přes most, aniž by si jich Rakušané všimli.
str_cutscene_vienna_5|Vymysleli proto léčku: ^Murat a Lannes se pokusí Rakušany přesvědčit, že již došlo k podpisu příměří.
str_cutscene_vienna_6|Tvým úkolem je mezitím v tichosti most zajistit, aby po něm mohlo vojsko přejít...
str_cutscene_austerlitz_1_1|Přijíždíš na bojiště do blízkosti vesnice Sokolnice. ^Podle zvědů vesnici obsadili Rusové. Tvým úkolem je Sokolnici získat zpět.
str_cutscene_austerlitz_1_2|Podívej! Někdo sem jede.
str_cutscene_austerlitz_1_3|Posel: ""Rusové obsadili vesnici! Musíš ji získat zpět!"
str_cutscene_austerlitz_1_4|Zdá se, že k bitvě dojde dříve, než jsme čekali. ^Inu dobrá, vyžeň Rusy z vesnice!
str_cutscene_austerlitz_1_5|Vesnice je znovu ve francouzských rukách, výborně! ^Rusové ale zahajují protiútok. Nesmějí uspět.
str_cutscene_austerlitz_1_6|Posily dorazily!
str_cutscene_austerlitz_1_7|Podařilo se ti ubránit vesnici před nepřítelem. ^Velmi nám to pomůže ke konečnému vítězství!
str_cutscene_austerlitz_1_8|Další posel!
str_cutscene_austerlitz_1_9|Posel: ""Generál se doslechl o tvém zdaru při obsazení a obraně vesnice. ^Běž ty dobré zprávy povědět císaři sám!"
str_cutscene_dresden_1_1|Drážďany, hlavní město Saska. ^Město se brání těžkému útoku sil Koalice a ty musíš pomoci s jeho záchranou.
str_cutscene_dresden_1_2|Rusové obsadili hradby a další se připravují na zteč vstupních bran. ^Tvým úkolem je hradby zajistit, zatímco tvoji spojenci se nepříteli postaví u bran.
str_cutscene_dresden_1_3|Hradby jsou naše, ale nebezpečí ještě nepominulo. ^Tvoji spolubojovníci u bran se už déle neudrží, musíš jim pomoct!
str_cutscene_dresden_1_4|První výpad byl odražen, nepřítel se ale šikuje k dalšímu. ^Bránou nesmějí projít!
str_cutscene_dresden_1_5|Ruské řady řídnou a tlak na hradby slábne. ^Generál uvolnil další muže, kteří tě podpoří.
str_cutscene_dresden_1_6|Útok ztroskotal a v řadách nepřátel vládne zmatek. ^Využij příležitosti, vyraž do protiútoku a zažeň je na útěk!
str_cutscene_dresden_2_1|Město jsme ubránili, okolní statky a vesnice jsou stále v moci nepřátel. ^Osvoboď tuto vesnici z rukou Rakušanů.
str_cutscene_dresden_2_2|Nejprve ale musíš porazit nepřátele, kteří stále operují ve volné krajině. ^Zvědové hlásí, že před námi jsou čtyři kumpanie.
str_cutscene_dresden_2_3|Nepřítel naneštěstí zpozoroval tvé dragouny a sešikoval se do čtverců, aby hrozbě čelil. ^Čeká tě lítý boj, protože pěchota a dělostřelectvo jsou stále na cestě, a nemůžou tě proto podpořit.
str_cutscene_dresden_2_4|Zdá se ale, že rakouský důstojník se od svých mužů dost vzdálil! ^Podaří-li se ti ho zajmout, jeho muži snad ztratí kuráž a naše šance v bitvě se zvýší...
str_cutscene_dresden_2_5|Formace nepřátel byly rozdrceny, zbývá obsadit vesnici. ^Vyraž do útoku a splň rozkaz.
str_cutscene_dresden_2_6|Naštěstí dorazila další jízda. ^Nasaď ji s rozvahou a vítězství nás nemine. En avant!
str_mission_briefing_1|1. prosince 1805^Příjemně jsme si odpočinuli, opět se ale vydáváme na cestu. Kéž je to naše poslední! ^Říká se, že pochodujeme přímo na bojiště.^^Čas strávený na víděňských předměstích byl tím nejlepším z celé války. Bohaté vesnice ^plné velkých, čistých domů, lahodné jídlo i víno. A ty dívky, co nám tak usilovně pomáhaly ^doplnit ztracené síly.^Nekonečný pochod psím počasím otřásl naší morálkou. Pronásledování prchajících ^Spojenců nás vyčerpalo. Jak rádi jsme na okamžik zapomněli.^^Poklidný odpočinek ale náhle skončil; přišel rozkaz připojit se k hlavním silám, a tak ^mašírujeme do úmoru, vstříc bitvě. Kvapným pochodem nechali jsme půl ^regimentu za sebou, neboť generál Friant jest rozhodnut dorazit včas. ^Na posily nečekáme.^^Spojenci nás početně převyšují, zejména v jezdectvu. Vypadá to, že ^tentokrát se budeme spíše bránit, na soudy je ale příliš brzy. Císařský posel jedoucí z ^hlavního stanu nás cestou zpravil, že náš týl nepřítel zahnal ^nedaleko Vishau, a my ustupujeme ke Slavkovu.^^Těžko se mi o tom mluví, ale myšlenky na nadcházející střetnutí naplňují mě děsem. Marengo byla poslední, ^tedy, přiznávám jediná velká bitva, které jsem se účastnil. A je tomu už 5 let. Stále si ^pamatuji hrůzy toho dne; třesu se jen při tom pomyšlení. ^Jaké štěstí, že jsem své pocity až dosud skrýval. ^Moji druzi opovrhují zbabělci a trestají je stejně jako zrádce.
str_mission_briefing_2|1. prosince 1805^Příjemně jsme si odpočinuli, opět se ale vydáváme na cestu. Kéž je to naše poslední! ^Říká se, že pochodujeme přímo na bojiště.^^Čas strávený na víděňských předměstích byl tím nejlepším z celé války. Bohaté vesnice ^plné velkých, čistých domů, lahodné jídlo i víno. A ty dívky, co nám tak usilovně pomáhaly ^doplnit ztracené síly.^Nekonečný pochod psím počasím otřásl naší morálkou. Pronásledování prchajících ^Spojenců nás vyčerpalo. Jak rádi jsme na okamžik zapomněli.^^Poklidný odpočinek ale náhle skončil; přišel rozkaz připojit se k hlavním silám, a tak ^mašírujeme do úmoru, vstříc bitvě. Kvapným pochodem nechali jsme půl ^regimentu za sebou, neboť generál Friant jest rozhodnut dorazit včas. ^Na posily nečekáme.^^Spojenci nás početně převyšují, zejména v jezdectvu. Vypadá to, že ^tentokrát se budeme spíše bránit, na soudy je ale příliš brzy. Císařský posel jedoucí z ^hlavního stanu nás cestou zpravil, že náš týl nepřítel zahnal ^nedaleko Vishau, a my ustupujeme ke Slavkovu.^^Těžko se mi o tom mluví, ale myšlenky na nadcházející střetnutí naplňují mě děsem. Marengo byla poslední, ^tedy, přiznávám jediná velká bitva, které jsem se účastnil. A je tomu už 5 let. Stále si ^pamatuji hrůzy toho dne; třesu se jen při tom pomyšlení. ^Jaké štěstí, že jsem své pocity až dosud skrýval. ^Moji druzi opovrhují zbabělci a trestají je stejně jako zrádce.
str_mission_briefing_3|26. srpna 1813^Hotovíme se k pochodu na Drážďany, kde naši nepočetnou posádku kdysi oblehli ^početnější síly Spojenců. Dělostřelecká palba je prý tak urputná, že se okenní tabulky ^otřásají i 10 kilometrů od města.^^Původní plán zněl napadnout a narušit komunikační linie Spojenců, ^ale císař svůj záměr před dvěma dny změnil, když se dozvěděl o nebezpečí, které saskému městu hrozí. ^Informován o rozsahu hrozby, vyslal nás, abychom městu pomohli, zatímco zbytku svých sil ^pod velením generála Vandammeho rozkázal pokračovat v půdních záměrech.^Není se co divit, že chtějí Spojenci Drážďany obsadit. Obrana města je mizerná ^a posádka nepočetná. Napoleon ale zamýšlí Spojence nepříjemně překvapit, ^neboť ze směru našeho pochodu nedrží nepřítel žádné hlídky.^^Je nás mnoho a máme početné jezdecvo vedené samotným princem Muratem. Bohužel, ^počasí se každým dnem zhoršuje a až dorazíme k Drážďanům, ^bude nejspíš pršet. Takové podmínky připraví nás jistě ^o naši jízdní převahu.^^Osobně se na bitvu těším. Konečně se Rusům pomstíme ^za strádání posledních šesti měsíců. Snažím se zapomenout na hrůzy, kterých jsme byli svědky cestou z ^Moskvy do Berezina, vypudit ty výjevy z mysli ale nelze. Noční můry neopustí mě ^do konce mých dní. ^Musíme tuhle bitvu vyhrát, tuhle válku, aby naši druhové neumřeli zbytečně.
str_mission_briefing_4|6. září 1812^^Válka mě již unavuje. Pochod dal se snést, ale posledních pár dní je tak náročných. ^Teprve nyní cítím se být zdráv. K čertu, to počasí je strašné! Přes den vedro k zalknutí, ^chladné noci, suchý vzduch. Ruských rolníků už není vidět. Spálili své domy a utekli, ^jen málo nám nechali k přežití na naší dlouhé cestě k Moskvě.^^Naši muži jsou unavení. Příliš dlouho nepříteli jen dýcháme na záda. ^Těší se ale z toho, že pochod se chýlí ke konci a s radostí vítají nadcházející bitvu. ^Rusové jsou v našich očích zbabělci. Očekáváme rychlé vítězství, těšíme se na návrat do náručí našich milovaných. ^Vojáci přejí si dokonce nastoupit k bitvě ve slavnostních uniformách. Naše touhy a únava nás ^oslepily: muži netuší, že to nejtěžší nás ještě čeká.^^Rusové se mezitím zastavili a zakopávají se na pozicích před posledním střetnutím.^^Jejich přípravy probíhají na dohled od reduty Ševardino, daleko od týlu vojska, ^což z nich činí lákavý cíl. Maršál Davout dostal rozkaz redutu obsadit ^stůj co stůj. Připojím se k jednotkám generála Companse a dohlédnu, že se vše podaří podle plánu.^^Musím být ale ostražitý. Ještě nikdy jsem neviděl takové opevnění! Již nepochybuji o tom, že tihle Rusové ^žádnými zbabělci nejsou. ^Dále už neustoupí ani krok. Moskvu budou bránit do posledního dechu.
str_mission_briefings_end|konec popisu mise
str_map_changed|Změna mapy
str_round_changed|Začátek nového kola
str_teamkilled_s1_s2_horse|{s1} zabíjí koně spoluhráče {s2}.
str_teamwounded_s1_s2|{s1} zraňuje spoluhráče {s2} za {reg60} zranění.
str_teamwounded_s1_s2_horse|{s1} zraňuje koně spoluhráče {s2} za {reg60} zranění.
str_revive_player|Obnovit hráče
str_revive_all|Obnovit všechny
str_revive_player_s2_s3|{s2} obnovuje hráče {s3}.
str_revive_all_s2|{s2} obnovuje každého.
str_cheat_god_mode|Božský mód
str_cheat_god_mode_s3_s2|{s2} zapíná Božský mód pro hráče {s3}.
str_cheat_god_mode_s3_s2_2|{s2} vypíná Božský mód pro hráče {s3}.
str_suicide_player|Sebevražda
str_s2_suicide|{s2} páchá sebevraždu.
str_admin_set_limit_surgeon_s0_reg1|{s0} nastavuje limit pro třídu Chirurgů na {reg1} % týmu.
str_limit_surgeon|Limit Chirurgů v každém týmu (%):
str_admin_set_limit_arty_train_s0_reg1|{s0} nastavuje limit pro třídu Dělostřelectvo na {reg1} % týmu
str_limit_arty_train|Limit Dělostřelectva v každém týmu (%):
str_admin_set_groupfight_mode_s0_s9|{s0} nastavuje použití módu skupinového boje na{s9}.
str_groupfight_mode|Zakázat palné zbraně (skupinový boj)
str_admin_set_competitive_score_mode_s0_s9|{s0} nastavuje mód Soutěživé Skóre na {s9}.
str_competitive_score_mode|mód Soutěživé Skóre
str_more_admin_tools|Další nástroje admina
str_choose_an_admin_tool|Zvolte nástroj admina:
str_spawn_player|Oživit hráče
str_spawn_all|Oživit všechny
str_spawn_all_s2|{s2} oživuje každého
str_spawn_player_s2_s3|{s2} oživuje hráče {s3}.
str_welcome_message_toggle|Uvítací zpráva je nastavena na {s9}.
str_commit_suicide|Jsi si jistý, že chceš umřít?
str_no_line_inf_spread|Zabránit hráči ve schopnosti rozšířit pluky pěších jednotek.
str_admin_set_no_line_inf_spread_s0_s9|{s0} nastavuje Zabránit hráči ve schopnosti rozšířit pluky pěších jednotek na {s9}.
str_line_inf_spread|Aktuální nastavení serveru nepovoluje plukům pěších jednotek se rozšířit přes jejich počáteční rozestoupení.
str_num_custom_maps|Zvolte # dostupných upravených map.
str_admin_set_num_custom_maps_s0_reg1|{s0} nastavuje počet dostupných upravených map ze kterých lze volit na {reg1}.
str_no_rambo|Zabránit hráči ve schopnosti působit zranění mimo četu.
str_no_rambo_warning|Jsi příliš daleko od své čety! Nezpůsobuješ zranění.
str_admin_set_no_rambo_s0_s9|{s0} nastavuje Zabránit hráči ve schopnosti působit zranění mimo četu na {s9}.
str_no_rambo_range|Maximální vzdálenost od čety v metrech (rambo):
str_admin_set_no_rambo_range_s0_reg1|{s0} Nastavuje maximální vzdálenost od čety na {reg1} metrů (V podstatě žádné rambo).
str_set_admin_true_s2|{s2} je whitelistem zvolen adminem.
str_set_admin_false_s2|Odejmut admin hráče {s2}, nenachází se na whitelistu.
str_return_set_admin_true_s2|{s2}, Jsi zvolen za admina whitelistem adminů.
str_return_set_admin_false_s2|{s2}, Tvůj admin byl odejmut whitelistem adminů.
str_admin_white_list_is_enabled|Whitelist adminů je povolen.
str_admin_white_list_is_disabled|Whitelist adminů je zakázán.
str_admin_white_list_added_key_reg0|Přidává klíč: {reg0} k whitelistu adminů.
str_healed_player_s2_reg4_reg5|Uzdravuje hráče {s2} za {reg4}%, aktuální zdraví: {reg5}%.
str_healed_player_full_s2_reg4|Uzdravuje hráče {s2} za {reg4}%, a je nyní plně uzdraven.
str_healed_player_no_more_s2_reg4|Uzdravuje hráče {s2} za {reg4}%, a již nemůže být dále uzdraven.
str_not_healed_player_full_s2|Hráč {s2} je již plně uzdraven.
str_not_healed_player_no_more_s2|Hráč {s2} již nemůže být dále uzdraven.
str_got_healed_player_s2_reg4_reg5|Hráč {s2} tě uzdravuje za {reg4}%, aktuální zdraví: {reg5}%.
str_got_healed_player_full_s2_reg4|Hráč {s2} tě uzdravuje za {reg4}%, nyní jsi plně uzdraven.
str_got_healed_player_no_more_s2_reg4|Hráč {s2} tě uzdravuje za {reg4}%, již nemůžeš být dále uzdraven.
str_not_got_healed_player_full_s2|hráč {s2} tě nemůže uzdravit, Jsi již plně uzdraven.
str_not_got_healed_player_no_more_s2|Hráč {s2} tě nemůže uzdravit, již nemůžeš být dále uzdraven.
str_healed_player_horse_s2_reg4_reg5|Uzdravuje koně hráče {s2} za {reg4}%, aktuální zdraví: {reg5}%.
str_healed_player_horse_full_s2_reg4|Uzdravuje koně hráče {s2} za {reg4}%, a již je plně uzdraven.
str_healed_player_horse_no_more_s2_reg4|Uzdravuje koně hráče {s2} za {reg4}%, a již nemůže být dále uzdraven.
str_not_healed_player_horse_full_s2|Kůň hráče {s2} již je plně uzdraven.
str_not_healed_player_horse_no_more_s2|Kůň hráče {s2} již nemůže být dále uzdraven.
str_got_healed_player_horse_s2_reg4_reg5|Hráč {s2} uzdravuje tvého koně za {reg4}%, aktuální zdraví: {reg5}%.
str_got_healed_player_horse_full_s2_reg4|Hráč {s2} uzdravuje tvého koně za {reg4}%, a je plně uzdraven.
str_got_healed_player_horse_no_more_s2_reg4|Hráč {s2} uzdravuje tvého koně za {reg4}%, a již nemůže být dále uzdraven.
str_not_got_healed_player_horse_full_s2|Hráč {s2} nemůže uzdravit tvého koně, již je plně uzdraven.
str_not_got_healed_player_horse_no_more_s2|Hráč {s2} nemůže uzdravit tvého koně, již nemůže být dále uzdraven.
str_healed_horse_s2_reg4_reg5|Uzdravuje {s2} koně za {reg4}%, aktuální zdraví: {reg5}%.
str_healed_horse_full_s2_reg4|Uzdravuje {s2} koně za {reg4}%, a nyní je plně uzdraven.
str_healed_horse_no_more_s2_reg4|Uzdravuje {s2} koně za {reg4}%, a již nemůže být dále uzdraven.
str_not_healed_horse_full_s2|Uzdravuje {s2} kůň je již plně uzdraven.
str_not_healed_horse_no_more_s2|Hráč {s2} kůň již nemůže být dále uzdraven.
str_royale_weapon_musket|Vzít mušketu
str_royale_weapon_pistol|Vzít pistoli
str_royale_weapon_carabine|Vzít karabinu
str_royale_weapon_smallsword|Vzít malý meč
str_royale_weapon_bigsword|Vzít meč
str_royale_weapon_bottle|Vzít láhev
str_royale_weapon_axe|Vzít sekeru
str_royale_weapon_spear|Vzít kopí
str_royale_weapon_club|Vzít palici
str_royale_weapon_tool|Vzít nástroj
str_royale_weapon_ramrod|Vzít nabiják
str_royale_weapon_lighter|Vzít zapalovač
str_royale_weapon_ammo|Vzít munici
str_royale_weapon_ammo_pistol|Vzít munici do pistole
str_royale_weapon_ammo_musket|Vzít munici do muškety
str_welcome_message_server|Vítej, {s3}, tvé uživatelské ID je {reg44}. Prosím neporušuj pravidla a užíj si svůj pobyt!
