str_no_string|스트링 없음!
str_bugle_prussia_2|카이저 빌헬름 행진곡
str_bugle_prussia_3|프라이빌리겐 엽병 행진곡
str_bugle_russia_1|러시아 총사 행진곡
str_bugle_russia_2|러시아 포병 행진곡
str_bugle_russia_3|러시아 엽병 행진곡
str_bugle_austria_1|슈타우 행진곡
str_bugle_austria_2|프로에스 레벤 행진곡
str_bugle_signal_1|집결 신호
str_bugle_signal_2|산개 신호
str_bugle_signal_3|밀착 신호
str_bugle_signal_4|진격 신호
str_bugle_signal_5|사격 개시
str_bagpipes_britain_1|지평선에 펼쳐진 파란 모자들
str_bagpipes_britain_2|보니 던디
str_bagpipes_extra_1|블랙 베어
str_bagpipes_extra_2|어메이징 그레이스
str_bagpipes_extra_3|밸모랄
str_bagpipes_extra_4|보니 던디
str_bagpipes_extra_5|북쪽의 수탉
str_bagpipes_extra_6|하일랜드 대성당
str_bagpipes_extra_7|나의 고향
str_bagpipes_extra_8|용감한 스코틀랜드
str_bagpipes_extra_9|스코틀랜드 뱃노래
str_piano_tune_1|베토벤 - 엘리제를 위하여
str_piano_tune_2|베토벤 - 에코세즈
str_piano_tune_3|에릭 사티 - 짐노페디 3
str_piano_tune_4|베토벤 - 렌틀러
str_piano_tune_5|리프트 모티프
str_piano_tune_6|바흐 - 전주곡
str_piano_tune_7|바그너 - 결혼 행진곡
str_piano_tune_8|슈베르트 - 성모 마리아에게 드리는 기도
str_organ_tune_1|바흐 - 토스카와 푸가
str_organ_tune_2|바흐 - 토스카와 푸가 2
str_organ_tune_3|바흐 - 서곡과 푸가
str_organ_tune_4|북스테후데 - 전주곡
str_organ_tune_5|짧은 푸가
str_organ_tune_6|바그너 - 결혼 행진곡
str_organ_tune_7|바흐 - 반음계적 푸가
str_organ_tune_8|바흐 - 반음계적 환상곡
str_flag_reg3|거점 {reg3}
str_mp_arabian_harbour_flag_1|작은 여관
str_mp_arabian_harbour_flag_2|뒷마당
str_mp_arabian_harbour_flag_3|항구
str_mp_arabian_harbour_flag_4|등대
str_mp_arabian_harbour_flag_5|시장
str_mp_arabian_village_flag_1|포도주 마을
str_mp_arabian_village_flag_2|농촌
str_mp_arabian_village_flag_3|요새화된 마을
str_mp_ardennes_flag_1|페름 듀 프레누아
str_mp_ardennes_flag_2|페름 드 라 그랑즈 디미에르
str_mp_ardennes_flag_3|망루
str_mp_ardennes_flag_4|어부의 움막
str_mp_ardennes_flag_5|페름 드 브레
str_mp_ardennes_flag_6|죽은 숲
str_mp_ardennes_flag_7|암반 지대
str_mp_avignon_flag_1|캠프
str_mp_avignon_flag_2|소도시
str_mp_avignon_flag_3|풍차
str_mp_avignon_flag_4|마을
str_mp_borodino_flag_1|소도시
str_mp_borodino_flag_2|마을
str_mp_borodino_flag_3|진지
str_mp_borodino_flag_4|풍차
str_mp_borodino_flag_5|셰브라디노
str_mp_borodino_flag_6|대형 진지
str_mp_borodino_flag_7|소형 진지
str_mp_columbia_hill_farm_flag_1|숲
str_mp_columbia_hill_farm_flag_2|헛간
str_mp_columbia_hill_farm_flag_3|농가
str_mp_columbia_hill_farm_flag_4|포도밭
str_mp_european_city_flag_1|교회
str_mp_european_city_flag_2|광장
str_mp_european_city_flag_3|빈세 모퉁이
str_mp_european_city_flag_4|거리
str_mp_french_farm_flag_1|숲
str_mp_french_farm_flag_2|진지
str_mp_french_farm_flag_3|농장
str_mp_hungarian_plains_flag_1|방직소
str_mp_hungarian_plains_flag_2|마을
str_mp_hungarian_plains_flag_3|풍차
str_mp_hungarian_plains_flag_4|폐가
str_mp_hungarian_plains_flag_5|판잣집
str_mp_hungarian_plains_flag_6|저택
str_mp_landshut_flag_1|란츠후트
str_mp_landshut_flag_2|아벤스버그 입구
str_mp_landshut_flag_3|란츠후트 외곽
str_mp_landshut_flag_4|교각
str_mp_landshut_flag_5|요새
str_mp_landshut_flag_6|농장
str_mp_landshut_flag_7|도하지점
str_mp_russian_village_flag_1|나무꾼 마을
str_mp_russian_village_flag_2|사냥꾼 마을
str_mp_russian_village_flag_3|러시아 마을
str_mp_minden_flag_1|베이스캠프
str_mp_minden_flag_2|민덴
str_mp_minden_flag_3|할렌
str_mp_minden_flag_4|네츠반드 농장
str_mp_minden_flag_5|스테머
str_mp_minden_flag_6|토텐하우젠 여관
str_mp_minden_flag_7|말베르겐 예배당
str_mp_minden_flag_8|뉴란드
str_mp_minden_flag_9|핀더 레이
str_mp_oaksfield_flag_1|지휘부 1
str_mp_oaksfield_flag_2|지휘부 2
str_mp_oaksfield_flag_3|밀 농장
str_mp_oaksfield_flag_4|시장
str_mp_oaksfield_flag_5|옥스타운
str_mp_quatre_bras_flag_1|피레몽트
str_mp_quatre_bras_flag_2|카르트 브라
str_mp_quatre_bras_flag_3|보수 숲
str_mp_quatre_bras_flag_4|프티 피레몽트
str_mp_quatre_bras_flag_5|지메온콧
str_mp_river_crossing_flag_1|진지 1
str_mp_river_crossing_flag_2|진지 2
str_mp_river_crossing_flag_3|마르티니츠 마을
str_mp_roxburgh_flag_1|수산 시장
str_mp_roxburgh_flag_2|강변 마을
str_mp_roxburgh_flag_3|호숫가 별장
str_mp_roxburgh_flag_4|장인 마을
str_mp_roxburgh_flag_5|미들턴 마을
str_mp_roxburgh_flag_6|사당
str_mp_roxburgh_flag_7|나무꾼 오두막
str_mp_schemmerbach_flag_1|슈머바흐 농장
str_mp_schemmerbach_flag_2|슈머바흐 다리
str_mp_schemmerbach_flag_3|강가
str_mp_schemmerbach_flag_4|대마밭
str_mp_slovenian_village_flag_1|슬로베니아 마을 외곽길
str_mp_slovenian_village_flag_2|항만
str_mp_slovenian_village_flag_3|슬로베니아 마을
str_mp_slovenian_village_flag_4|숲
str_mp_slovenian_village_flag_5|강
str_mp_champs_elysees_flag_1|서쪽 거리
str_mp_champs_elysees_flag_2|동쪽 거리
str_mp_champs_elysees_flag_3|남서쪽 일대
str_mp_champs_elysees_flag_4|남동쪽 일대
str_mp_champs_elysees_flag_5|북동쪽 일대
str_mp_champs_elysees_flag_6|북서쪽 일대
str_mp_champs_elysees_flag_7|개선문
str_mp_fort_vincey_flag_1|휘팅턴 요새
str_mp_fort_vincey_flag_2|소형 진지
str_mp_fort_vincey_flag_3|강화 진지
str_mp_fort_vincey_flag_4|참호
str_mp_fort_vincey_flag_5|대형 진지
str_mp_swamp_flag_1|캠프
str_mp_swamp_flag_2|지크부르크
str_mp_swamp_flag_3|교각
str_mp_swamp_flag_4|습지 섬
str_mp_swamp_flag_5|대로
str_mp_swamp_flag_6|무덤
str_mp_swamp_flag_7|어부의 집
str_mp_walloon_farm_flag_1|동쪽 캠프
str_mp_walloon_farm_flag_2|서쪽 캠프
str_mp_walloon_farm_flag_3|서쪽 언덕
str_mp_walloon_farm_flag_4|농장
str_mp_walloon_farm_flag_5|서쪽 언덕
str_mp_walloon_farm_flag_6|진지
str_scene_making_welcome_message|"맵 편집기 모드로 들어오신 것을 환영합니다.^이곳에서는 새로운 맵을 만들거나 기존의 맵을 편집할 수 있습니다.^^도구 설정:^^# 날씨 도구:^spr mm weather time      # var1 = 게임 내 시각0-23; 기본값 = 15 (시)^spr mm weather rain      # var1 = 내리는 비 종류; 1 = 비 2 = 눈,var2 = 강수량 0-25^spr mm weather clouds    # var1 = 구름의 양 0-100; 기본값 = 30^spr mm weather fog       # var1 = 안개 가시거리,10일 경우 완전히 안보임. 1-127^spr mm weather thunder   # var1 = 천둥 종류: 0 = 없음 1 = 천둥소리만 2 = 천둥과 번개,^                         # var2 = 천둥 빈도수 0-100 ; 숫자가 높을수록 번개가 자주 내리침.^^# 문 도구:^전원 여닫기 가능       # var1 = 팀 전용 문; 1 = 1번 팀만 여닫기 가능,2 = 2번 팀만 여닫기 가능; 그 외 전부 여닫기 가능.^^# 대포 설정 도구:^spr mm spawn with cannon # 맵에 설치할 경우 포차견인대가 대포와 함께 소환됨.^,"
str_tutorial_info_1|"이런 낭패를 봤나! 이건 망할 커피잖아! 난 홍차를 원했다고!!! 아,거기 계셨군요! 마운트&블레이드: 나폴레오닉 워즈 튜토리얼에 오신 것을 환영합니다!^ 이제 훈련을 시작해보기에 앞서 'WASD' 키를 눌러 화살표가 가리키는 지점까지 걸어가십시오. 마우스를 이용해 주변을 둘러보실 수 있습니다,프랑스 놈들을 발견하기 위해선 더더욱 필요한 기능이지요,안그렇습니까? 으헤헤헤!,"
str_tutorial_info_2|저 앞에 놓인 영국 기술력의 결정체가 보이십니까? 머스킷을 바라본 다음 'F' 를 눌러 집어들으십시오!
str_tutorial_info_3|"잘 하셨습니다! 이제 당신은 무장한 상태입니다! 이제 앞에 놓여있는 표적에 데미지를 입혀볼 차례입니다.^마우스 왼쪽 버튼을 누르고 있으면 머스킷을 조준하게 되며 마우스를 움직여 조준 방향을 변경할 수 있습니다. 명심하셔야 할 것은,머스킷은 꽤 부정확하다는 거에요! 으헤헤헤!^조준이 잘 된것 같다면,왼쪽 마우스 버튼에서 손을 떼어 발사하십시오!"
str_tutorial_info_4|"운이 나빴군요! 아무래도 표적을 놓치신것 같습니다. 총을 장전한 뒤 다시 시도해 보십시오.^ 무기를 장전하려면,왼쪽 마우스 버튼을 누른 뒤,당신의 캐릭터가 장전을 마칠 때까지 기다리십시오 - 몇 초 걸릴테니 인내심을 가지셔야 합니다. 덧붙이자면,이동 중에는 장전을 할 수 없습니다.^장전이 끝나면,표적에 대고 한번 더 발사하십시오. 빚맞춰도 걱정하실 것 없습니다. 다시 장전해서 재도전하면 되니 말입니다."
str_tutorial_info_5|"잘 하셨군요! 이제 원하신다면 계속 연습하셔도 됩니다;^ 발사 요령을 충분히 익혔다고 생각된다면,저 화살표가 가리키는 다음 구역으로 이동하시면 됩니다."
str_tutorial_info_6|"잘 하셨습니다! 원하신다면,무기를 재장전한 뒤 다시 쏴보셔도 됩니다.^ 장전을 하려면 왼쪽 마우스 버튼을 누른 뒤 당신의 캐릭터가 장전을 끝낼 때까지 기다리십시오 - 몇초 가량 걸릴 테니 인내심을 가지셔야 합니다. 명심하셔야 할 것은,이동 중에는 장전할 수 없다는 것입니다.^요령을 충분히 익히신것 같다면,화살표가 가리키고 있는 왼쪽 구역으로 이동하시면 됩니다."
str_tutorial_info_7|"전투 중에는 가끔 프랑스 놈들에게 곧장 달려들어서 끝장을 내야 할 때가 생기곤 합니다,이런 경우를 위해 당신의 머스킷에는 총검이 장착되어 있죠.^하지만,현재 당신의 머스킷은 '사격 모드' 로 되어있습니다; 총검을 사용하기 위해 이를 '백병전 모드' 로 변경해야 합니다. 이것을 바꾸는 버튼은 'X' 키입니다. 지금 눌러 보십시오."
str_tutorial_info_8|"잘했습니다. 이제 당신의 총검을 사용해서 근접공격 모드로 더미에 돌격할 수 있습니다.^그러나! 공격하기 전에 알아두셔야 할 것이 있습니다^당신은 항상 일어서 있어야만 하는 건 아닙니다,당신은 앉는 것도 가능하죠. Z를 누르면 됩니다."
str_tutorial_info_9|좋습니다! 보시다시피 당신은 지금 앉은 상태입니다. 이 상태에서 백병전 상태로 전환할 경우 당신의 캐릭터가 총검을 땅에 고정하는 것을 볼 수 있습니다. 이것은 정면으로 달려오는 적 기병에 맞설 때 아주 유용합니다.^다음 단계로 넘어가려면 지금 일어서십시오. 일어서려면 'Z' 키를 다시 누르거나 아무 이동 키를 누르시면 됩니다.
str_tutorial_info_10|"이제 공격과 방어를 해볼 차례입니다. 공격하고자 하는 방향으로 마우스를 움직이면서 왼쪽 마우스 버튼을 눌러 공격하십시오. 당신이 들고 있는 착검된 머스킷은 위,아래로만 공격이 가능합니다. 다른 무기들은 더 다양한 공격 방향을 가지고 있으며,예를 들어 검의 경우 위,아래,왼쪽,오른쪽 4방향으로 공격이 가능합니다. 공격 준비 자세에서 무기를 휘두르려면 마우스 왼쪽 버튼을 놓으십시오.^방어는 비슷한 방법으로 이뤄집니다. 오른쪽 마우스 버튼을 누른 상태에서 막아내고자 하는 방향으로 마우스를 움직이십시오. 모든 무기들은 4방향 전부 막는 게 가능합니다. 반드시 적이 공격하는 방향과 일치하는 방향으로 방어를 하십시오,그렇지 않으면 프랑스 놈들이 당신을 끝장낼 겁니다.^^이제 총검을 이용해 저기 있는 인체 모형을 연습삼아 전부 쓰러뜨리십시오.,"
str_tutorial_info_11|잘 하셨습니다!
str_tutorial_info_12|"이제 보병 전투의 기본기를 익히셨군요,이제 기병을 연습해볼 차례입니다.^당신을 위해 아주 근사하게 손질된 장비와 훌륭한 기마가 준비되어 있습니다. 말에 올라타려면 말에 다가선 다음 'F' 키를 누르십시오."
str_tutorial_info_13|"이제 말에 올라타셨나요? 훌륭합니다. 말에 탄 상태로 이동하려면 이전과 마찬가지로 'WASD' 키를 이용하시면 됩니다,하지만 이동 방식이 약간 다릅니다: 'W' 키는 말의 속력을 높일 것이며 'S' 키는 반대로 속도를 낮춰줍니다; 'A' 와 'D' 키로는 말의 방향을 돌릴 수 있습니다. 마우스를 이동하면 주변을 둘러보실 수 있습니다 - 하지만 이런다고 말의 방향까지 바뀌진 않습니다. 화살표가 가리키고 있는 곳으로 이동해 보십시오."
str_tutorial_info_14|"훌륭하군요! 이제 말을 멈춰 세우십시오. 이제 기마 총술을 연습해볼 시간입니다. 저 멀리 있는 표적이 보이십니까? 말 등 위에서 사격하는 건 땅 위에서 쏘는 것과 크게 다르지 않습니다,좀전에 배웠던 대로 목표물을 맞춰 보십시오."
str_tutorial_info_15|"아쉽게도 빚맞추셨습니다! 그래도 걱정 마십시오,다시 장전해서 시도하면 됩니다,하지만 명심하셔야 할 것은,쏘는 동안 가만히 있어야 하는 건 말 위에서도 마찬가지라는 것입니다. 장전이 완료되는 대로 다시 시도해 보십시오.,"
str_tutorial_info_16|"바로 그겁니다! 원하신다면 더 연습하셔도 됩니다.^^다음 단계로 계속할 준비가 되었다면,이제 기마 백병전의 기본기를 익힐 차례입니다. 이땐 검이 필요하죠. 무기를 검으로 바꾸려면 마우스 휠을 위로 올리십시오."
str_tutorial_info_17|"브라보! 이제 원하는 만큼 더 쏴보셔도 됩니다. 명심하셔야 할 것은,이동 중에 장전이 안되는 것은 말 위에서도 마찬가지라는 것입니다.^^준비가 되셨다면,이제 기마 검술을 익힐 차례입니다. 지금은 검이 필요하니,무기를 검으로 바꾸려면 마우스 휠을 위로 돌리십시오."
str_tutorial_info_18|"사격과 마찬가지로,말 위에서의 백병전은 땅 위에서 싸우는 것과 비슷합니다. 저기 널린 모형들에게 달려들어 모형을 박살내십시오.^움직이는 상태를 유지하면서 공격하는 것이 좋습니다,가만히 선 상태에서 공격하면 속력과 기동성을 포기해야 하니 말입니다. 알맞은 순간에 공격을 하면 적은 뭐에 맞은지도 모른 채 당신의 무기에 맞아 고꾸라질 것입니다."
str_tutorial_info_19|훌륭하군요! 이로서 기마 전투의 가장 중요한 요소를 습득하셨습니다.
str_tutorial_info_20|"마침내! 포술을 연습해 볼 시간입니다.^대포 앞까지 걸어간 다음 탄약 상자에서 탄약을 꺼내십시오.^^탄약은 크게 세 가지 종류로 나뉩니다:^통상탄은 일종의 범용탄으로서 특히 건물을 상대로 유용합니다;^산탄은 포도탄 세례를 퍼부어 대포 앞의 모든 것을 죽일 수 있지만,먼 거리에서는 효과가 매우 떨어집니다;^작렬탄은 밀집된 적군을 상대로 매우 효과적이며,폭발할 때 금속 파편을 사방으로 흩뿌립니다. 하지만 작렬탄은 일반적인 대포에는 사용할 수 없습니다."
str_tutorial_info_21|대포의 포신 앞에서 탄약을 집어넣으십시오. 포신 앞을 바라본 다음 '탄약 투입' 문구가 보이면 'F' 키를 진행 표시줄이 꽉 찰 때까지 누르십시오.
str_tutorial_info_22|이제 꽂을대를 이용하여 대포를 장전해야 합니다. 한번 더 포신을 바라본 상태에서 장전이 완료될 때까지 'F' 를 누르십시오.
str_tutorial_info_23|발사하기 전에 대포를 앞으로 밀어줘야 합니다. 대포를 밀기 위해선 대포를 바라본 상태에서 'F' 를 누르십시오.
str_tutorial_info_24|"마지막으로,포신 뒷부분으로 가서 '조종 개시' 문구가 뜰 때까지 포신을 바라보십시오. 그리고 'F' 를 눌러 대포를 조종하십시오."
str_tutorial_info_25|"이제 대포를 조준하시면 됩니다! 한번 더,마우스를 이용해 조준한 다음,마우스 왼쪽 버튼을 누르면 발사가 되지만,오른쪽 버튼을 누르면 취소될 것입니다. 하지만 지금은 쏠 차례입니다,마우스 왼쪽 버튼을 클릭하여 발사하십시오.,"
str_tutorial_info_26|이로서 튜토리얼은 끝났습니다. 이제 마운트&블레이드: 나폴레오닉 워즈의 모든 기본기를 익히셨습니다. 준비가 되셨다면 'Tab' 키를 눌러 이 튜토리얼을 종료하십시오.^^전장에서의 행운을 빕니다! 저는 이만 차과 크럼핏을 즐기러!
str_vienna_1|제거된 상자 수: {reg0}/{reg1}
str_austerlitz_1_1|격퇴한 공격 횟수: {reg0}/{reg1}
str_dresden_1_1|격퇴된 적 부대: {reg0}/{reg1}
str_dresden_1_2|격퇴한 공격 횟수: {reg0}/{reg1}
str_dresden_2_1|격파된 방진 갯수: {reg0}/{reg1}
str_dresden_2_2|격파된 전열 갯수: {reg0}/{reg1}
str_cutscene_vienna_1|"다뉴브 강,유럽에서 2번째로 길며 오스트리아 제국을 둘로 나누는 강. ^울름 군사작전이 실패하자 오스트리아군은 빈 에서 그 강을 건너 후퇴하고 있었습니다."
str_cutscene_vienna_2|"프랑스군 선발대는 멀리 떨어져 있지 않은 모양입니다. ^다른 다리들은 전부 파괴되었지만,프랑스군은 무슨 수를 써서라도 강을 건너야 합니다."
str_cutscene_vienna_3|"오스트리아군은 프랑스군이 다리를 건너려 시도하는 순간 다리를 폭파시킬 것입니다. ^다리가 폭파된다면,프랑스군은 후퇴하는 연합군을 저지하지 못할 것이며,울름 전투에서의 승리가 무의미하게 될 것입니다."
str_cutscene_vienna_4|뮈라와 란이 그들 나름대로의 최선을 다 하고 있는 동안; ^그들은 오스트리아군이 눈치채지 못하게 다리를 건너야 했습니다.
str_cutscene_vienna_5|"일을 성사시키기 위해,그들은 한가지 계략을 내놓기로 했습니다: ^뮈라와 란이 오스트리아군에게 정전협정이 이미 서명되었다고 믿게끔 만드는 것이었습니다."
str_cutscene_vienna_6|"그동안,아군이 다리를 건널 수 있도록 폭탄을 몰래 제거해야 합니다..."
str_cutscene_austerlitz_1_1|당신은 스콜니츠 마을 부근의 전장에 도달하였습니다. ^정찰조의 말에 따르면 러시아군이 마을을 점령했으며 거길 재탈환하는 것이 당신의 임무라고 합니다.
str_cutscene_austerlitz_1_2|저길 보십시오! 누군가 다가오고 있습니다!
str_cutscene_austerlitz_1_3|"전령: '러시아군이 마을을 점령했습니다! 당신이 반드시 재탈환해야 합니다!"
str_cutscene_austerlitz_1_4|"아무래도 전투가 생각보다 가까이서 벌어지는 듯 하군요. ^마침 잘됐습니다,러시아군으로부터 마을을 재탈환하십시오!"
str_cutscene_austerlitz_1_5|"프랑스군이 마을을 되찾았습니다,잘 하셨습니다! ^하지만 러시아군이 이미 마을을 재탈환하려 병력을 보내오고 있습니다,적군의 공격이 성공하지 못하도록 그들을 막아야 합니다."
str_cutscene_austerlitz_1_6|지원 병력이 도착했습니다!
str_cutscene_austerlitz_1_7|적군으로부터 마을을 성공적으로 방어해냈습니다. ^덕분에 우리는 승리에 한 발짝 더 다가섰습니다!
str_cutscene_austerlitz_1_8|또 다른 전령이 도착했습니다!
str_cutscene_austerlitz_1_9|전령: '장군께서 당신이 마을을 성공적으로 탈환했다는 소식을 접했습니다 ^아무래도 직접 황제 폐하께 찾아가 이 희소식을 전해드려야 할 것 같군요!'
str_cutscene_dresden_1_1|"작센의 수도 드레스덴,^이 도시는 현재 연합군의 맹렬한 공격을 받고 있습니다. 이 도시를 사수하는 건 당신의 몫입니다."
str_cutscene_dresden_1_2|러시아군이 이미 방벽을 점령했으며 더 많은 적군 병력이 정문을 돌파할 준비를 하고 있습니다. ^당신의 임무는 아군이 정문을 사수하는 동안 방벽에 모여있는 적들을 소탕하는 것입니다.
str_cutscene_dresden_1_3|"이제 방벽은 당분간 안전합니다,하지만 도시를 향한 위협이 완전히 사그러들진 않았습니다. ^정문을 사수중인 아군 병력이 더 이상 버틸 수 없어 보입니다,당신이 어서 그들을 도와야 합니다!"
str_cutscene_dresden_1_4|"적군의 공격이 좌절되었습니다만,적군은 아랑곳하지 않고 더 많은 병력을 보내서 공격해오고 있습니다. ^당신은 적군 병력이 다시는 정문을 통과하지 못하도록 막아야 합니다!"
str_cutscene_dresden_1_5|러시아군의 대열이 점점 얇아지더니 방벽에 대한 그들의 공격력이 점점 약해지고 있습니다. ^장군께서 당신을 위해 병력 일부를 증원해 주었습니다.
str_cutscene_dresden_1_6|적군의 공격이 격퇴되어 적들이 혼란에 빠졌습니다. ^이 때를 노려 밖으로 나가 적군을 도시 밖으로 몰아내십시오!
str_cutscene_dresden_2_1|"도시를 성공적으로 방어해냈지만,도시 외곽의 농장과 마을들은 여전히 적군의 손아귀에 있습니다. ^당신의 임무는 이 마을들을 오스트리아군으로부터 해방시키는 것입니다."
str_cutscene_dresden_2_2|"하지만 그렇게 하기 위해선,먼저 개활지에 보이는 오스트리아군을 해치워야 합니다. ^정찰조의 말에 따르면 당신 앞에 적군 4개 중대가 위치하고 있다 합니다."
str_cutscene_dresden_2_3|"불행히도 적군은 이미 당신의 용기병 부대를 포착한 상태였고,이에 맞서 방진을 구성한 상태입니다. ^보병과 포병이 당신과 멀리 떨어져 있어 지원할 수 없으므로,결코 쉽지 않은 전투가 될 것입니다."
str_cutscene_dresden_2_4|"아무래도 오스트리아군 지휘관이 자기 부대에서 멀리 벗어나버린 모양입니다! ^그를 사로잡을 수 있다면,적군은 머리 없이 싸우는 것이나 마찬가지이므로 전투가 훨씬 손쉬워질 것입니다..."
str_cutscene_dresden_2_5|"적군의 방진들이 격파되었습니다,하지만 적군 잔존 병력들이 여전히 마을을 차지하고 있습니다. ^아무래도 지금이 이들을 공격하여 점령해야 할 시간인것 같군요."
str_cutscene_dresden_2_6|"다행히도,더 많은 기병들이 당신을 지원하기 위해 도착하고 있습니다. ^이들을 잘 활용하면 승리는 곧 우리의 것입니다. 진격!"
str_mission_briefing_1|"1805년 12월 1일^꽤 좋은 휴식이었다,하지만 또다른 행군이 기다리고 있었다. 나는 신께 이 모든 고생이 결실을 맺길 간절히 바랬다! ^듣자하니 우리는 곧장 전장으로 행군할 것이라 한다.^^우리가 빈 외곽에서 보낸 순간들은 이번 작전의 백미와도 같았다. 부유한 마을과 ^크고 깔끔한 저택들,맛난 음식과 포도주 -- 그리고 물론,우리의 원기를 북돋아준 ^아름다운 아가씨들까지.^우리는 계속되는 악천후와 행군으로 지친 상태였다. 그와 더불어 ^쉴새 없이 도망치는 연합군을 쫓느라 피로는 더욱 가중되었다. 지금은 잊는 편이 낫겠지만...^^잠시의 휴식도 찰나; 최대한 빨리 본대로 복귀하라는 명령이 하달되었다,^이제 전장을 향해 한번 더 열심히 행군을 해야 하는 것이다. 거의 끌려가다시피 하는 행군 와중에 우리 부대 절반 가량이 ^낙오된 듯 했다,하지만 프리앙 장군은 전장에 되도록 빨리 도착하는게 우선이라 생각한듯 하다,^도착하더라도 뒤늦게 따라온 병력을 기다리느라 지체하지 않을 것이다.^^전해듣기론 연합군 병력은 특히 기병에 있어서 우릴 숫적으로 압도한다고 한다. 아무래도 ^이번 전투는 방어태세로 임해야 할듯 싶었다,하지만 상황은 예측 불가능하게 돌아가고 있었다. ^황제폐하의 사령부에서 온 전령의 말에 의하면 우리의 후위 부대가 적의 공세에 밀려 ^비샤우라 불리는 곳으로 쫓겨 아우스터리츠를 향해 후퇴중이었다.^^나는 이런 말은 하고 싶지 않았지만,곧 다가올 전투가 내게 점점 공포로 다가오고 있었다. 비슷한 경험은 마렝고에서 겪었었지만,^마지막으로 치뤄본 큰 전투라곤 그게 다였고 그마저도 5년 전 일이었다. 나는 여전히 ^그 날 목격했던 끔찍한 광경을 아직도 생생히 기억한다; 다시 떠올리기만 해도 몸서리가 쳐졌다. ^다행스럽게도,나는 이런 두려움을 애써 감출 순 있었다; ^우리 병사들은 겁쟁이를 무척이나 싫어하기 때문이다,그들은 겁내는 것을 반역으로 간주할 정도였다...,"
str_mission_briefing_2|"1805년 12월 1일^꽤 좋은 휴식이었다,하지만 또다른 행군이 기다리고 있었다. 나는 신께 이 모든 고생이 결실을 맺길 간절히 바랬다! ^듣자하니 우리는 곧장 전장으로 행군할 것이라 한다.^^우리가 빈 외곽에서 보낸 순간들은 이번 작전의 백미와도 같았다. 부유한 마을과 ^크고 깔끔한 저택들,맛난 음식과 포도주 -- 그리고 물론,우리의 원기를 북돋아준 ^아름다운 아가씨들까지.^우리는 계속되는 악천후와 행군으로 지친 상태였다. 그와 더불어 ^쉴새 없이 도망치는 연합군을 쫓느라 피로는 더욱 가중되었다. 지금은 잊는 편이 낫겠지만...^^잠시의 휴식도 찰나; 최대한 빨리 본대로 복귀하라는 명령이 하달되었다,^이제 전장을 향해 한번 더 열심히 행군을 해야 하는 것이다. 거의 끌려가다시피 하는 행군 와중에 우리 부대 절반 가량이 ^낙오된 듯 했다,하지만 프리앙 장군은 전장에 되도록 빨리 도착하는게 우선이라 생각한듯 하다,^도착하더라도 뒤늦게 따라온 병력을 기다리느라 지체하지 않을 것이다.^^전해듣기론 연합군 병력은 특히 기병에 있어서 우릴 숫적으로 압도한다고 한다. 아무래도 ^이번 전투는 방어태세로 임해야 할듯 싶었다,하지만 상황은 예측 불가능하게 돌아가고 있었다. ^황제폐하의 사령부에서 온 전령의 말에 의하면 우리의 후위 부대가 적의 공세에 밀려 ^비샤우라 불리는 곳으로 쫓겨 아우스터리츠를 향해 후퇴중이었다.^^나는 이런 말은 하고 싶지 않았지만,곧 다가올 전투가 내게 점점 공포로 다가오고 있었다. 비슷한 경험은 마렝고에서 겪었었지만,^마지막으로 치뤄본 큰 전투라곤 그게 다였고 그마저도 5년 전 일이었다. 나는 여전히 ^그 날 목격했던 끔찍한 광경을 아직도 생생히 기억한다; 다시 떠올리기만 해도 몸서리가 쳐졌다. ^다행스럽게도,나는 이런 두려움을 애써 감출 순 있었다; ^우리 병사들은 겁쟁이를 무척이나 싫어하기 때문이다,그들은 겁내는 것을 반역으로 간주할 정도였다...,"
