str_no_string|BRAK WIERSZA!
str_scene_making_welcome_message|Welcome to the scene editing gamemode.^Here you can create new scenes or edit existing ones.^^Prop settings:^^# Weather props:^spr mm weather time      # var1 = time of day 0-23; Default = 15 (hours)^spr mm weather rain      # var1 = rain type; 1 = rain 2 = snow, var2 = rain amount 0-25^spr mm weather clouds    # var1 = cloud amount 0-100; Default = 30^spr mm weather fog       # var1 = fog distance in meters x 10 where fog completely blocks visibility. 1-127^spr mm weather thunder   # var1 = thunder type: 0 = none 1 = thunder only 2 = thunder & lighting,^                         # var2 = thunder frequency 0-100 ; the higher value the more thunder.^^# Door props:^All openable doors       # var1 = Team ownership; 1 = Team1 can open, 2 = Team2 can open; else all can open.^^# Cannon setting props:^spr mm spawn with cannon # If added to the map artillery sargeants spawn with the cannon.^
str_tutorial_info_1|A niech to diabli! Toż to jest przeklęta kawa! Powiedziałem HERBATY!!! Naprawdę! Hej, Ty tam! Witaj na szkoleniu w Mount&Blade: Napoleonic Wars, żołnierzu! ^Na początku treningu wykorzystaj klawisze ''WSAD'', aby dotrzeć do miejsca oznaczonego strzałką. Możesz użyć myszy, aby się rozglądać - wszystko czego potrzeba do spostrzeżenia żabojadów! Czyż nie? Hahaha!
str_tutorial_info_2|Widzisz przed sobą ten niesamowity kawałek brytyjskiej myśli technologicznej? Spójrz na muszkiet i podnieś go naciskając klawisz ''F''!
str_tutorial_info_3|Genialnie! Jesteś uzbrojony i niebezpieczny, sir! Zatem zabierzmy się za sianie zniszczenia. ^Przytrzymaj LPM i wyceluj za pomocą myszy w cele, które znajdują się przed Tobą. Zapamiętaj jednak, że muszkiety charakteryzują się dosyć marną celnością i są potwornie nieprzewidywalne. Hahaha! ^Kiedy już będziesz zadowolony z idealnego wymierzenia w cel, zwolnij LPM, aby oddać strzał!
str_tutorial_info_4|Pech! Wygląda na to, że nie trafiłeś w cel. Czas przeładować broń i spróbować jeszcze raz. ^Aby przeładować, kliknij LPM i zaczekaj aż postać zakończy czynność - zajmie to kilka cennych sekund, zatem bądź cierpliwy. Pamiętaj jednak, że nie  możesz przeładowywać podczas ruchu. ^Kiedy broń zostanie przeładowana, ponownie wyceluj i oddaj strzał do celu. Nie martw się, jeśli znów spudłujesz - masz spory zapas amunicji.
str_tutorial_info_5|Świetna robota, sir! Teraz możesz jeszcze poćwiczyć. ^Jeśli jednak uważasz, że opanowałeś już muszkiet, możesz udać się do kolejnego punktu, który znajduje się po lewej stronie - wskazuje go strzałka.
str_tutorial_info_6|Dobrze! Jeśli chcesz, możesz przeładować broń i strzelić jeszcze raz. ^Aby przeładować, kliknij LPM i zaczekaj, aż postać zakończy czynność - zajmie to kilka cennych sekund, zatem bądź cierpliwy. Pamiętaj jednak, że nie możesz przeładowywać podczas ruchu. ^Jeśli jednak uważasz, że opanowałeś już muszkiet, możesz udać się do kolejnego punktu, który znajduje się po lewej stronie - wskazuje go strzałka.
str_tutorial_info_7|Czasami podczas bitwy przychodzi taki czas, że trzeba z Francuzikiem stanąć twarzą w twarz. Z tego też powodu muszkiet wyposażony jest w bagnet. ^Problem w tym, że Twój muszkiet jest obecnie ustawiony na ''tryb ostrzału''. Aby wykorzystać bagnet, musisz przełączyć się w ''tryb walki wręcz''. W tym celu naciśnij teraz klawisz ''X''.
str_tutorial_info_8|Wspaniale. Właśnie przeszedłeś do ''trybu walki wręcz'' i jesteś gotów, by stawić czoła manekinom. ^Ale... Zanim potraktujesz je swoim bagnetem, jest jeszcze jedna sprawa, którą warto poruszyć. ^Nie musisz cały czas stać - możesz także kucać. Naciśnij klawisz ''Z'', aby to zrobić.
str_tutorial_info_9|Dobrze! Jak widzisz, teraz kucasz, a jako że jesteś w ''trybie walki wręcz'' Twoja postać wymachuje bagnetem. Ten typ ataku jest całkiem skuteczny przeciwko kawalerii. ^Powstań, aby kontynuować. Możesz ponownie nacisnąć klawisz ''Z'' lub dowolny klawisz ruchu. 
str_tutorial_info_10|W kwestii atakowania i obrony... Aby zaatakować, naciśnij LPM podczas ruchu myszą w kierunku, w którym chcesz atakować. Twój wyposażony w bagnet muszkiet może atakować tylko w 2 kierunkach: w górę i w dół. Inna broń może pozwalać na atak w innych kierunkach. Miecze, dla przykładu, posiadają 4 kierunki ataku: w górę, w dół, z lewa i z prawa. Aby wykonać atak, zwolnij LPM. ^Obrona działa stosunkowo podobnie. Przytrzymaj PPM podczas ruchu myszą w kierunku, w którym chcesz blokować. Wszystkie modele broni pozwalają na blokowanie ciosów z 4 kierunków. Upewnij się, że blokujesz odpowiednią stronę podczas ataku wroga, inaczej żabojady szybko się z Tobą uwiną. ^^A teraz poćwicz atak bagnetem na manekinach.
str_tutorial_info_11|Dobra robota!
str_tutorial_info_12|Teraz, kiedy opanowałeś już style walki piechoty, przejdziemy do treningu kawaleryjskiego. ^Zostałeś wyposażony w świetny sprzęt oraz niesamowitego wierzchowca. Aby wsiąść na konia, podejdź do niego i naciśnij klawisz ''F''.
str_tutorial_info_13|Już w siodle? Świetnie. Do poruszania się na koniu, tak jak w przypadku chodzenia, wykorzystuje się klawisze ''WSAD'' - są jednak małe różnice. Klawisz ''W'' zwiększa prędkość konia, a klawisz ''S'' ją zmniejsza. Klawisze ''A'' i ''D'' zmieniają kierunek jazdy. Zapoznaj się ze swoim wierzchowcem i udaj się do punktu wyznaczonego przez strzałkę.
str_tutorial_info_14|Cudownie! Teraz zatrzymaj konia. Czas postrzelać z jego grzbietu. Widzisz tamte cele w oddali? Strzelanie z grzbietu jest bardzo podobne do normalnego strzelania, zatem wykorzystaj wiedzę, którą zdobyłeś podczas wcześniejszego treningu.
str_tutorial_info_15|Do diaska! Spudłowałeś! Nie martw się jednak - możesz przeładować i spróbować jeszcze raz. Pamiętaj, że najlepszą zbieżność osiąga się, gdy koń stoi. Przeładuj broń i do dzieła.
str_tutorial_info_16|W końcu udało Ci się trafić! Możesz jeszcze poćwiczyć, jeśli tylko chcesz. ^^Gdy będziesz gotów, zajmiemy się podstawami walki bronią białą z grzbietu wierzchowca. W tym celu będziesz potrzebował miecza. Wybierz miecz za pomocą kółka myszy.
str_tutorial_info_17|Brawo! Możesz jeszcze poćwiczyć, jeśli tylko chcesz. Pamiętaj, że najlepszą zbieżność osiąga się, gdy koń stoi. ^^Gdy będziesz gotów, zajmiemy się podstawami walki bronią białą z grzbietu wierzchowca. W tym celu będziesz potrzebował miecza. Wybierz miecz za pomocą kółka myszy.
str_tutorial_info_18|Podobnie jak w przypadku strzelania, walka bronią białą z grzbietu przypomina standardową walkę. Śmiało - przejedź ścieżką i rozpraw się z manekinami. ^Spróbuj uderzać w nie pozostając w ruchu - jeśli zatrzymasz się podczas walki, stracisz całą przewagę, którą daje Ci prędkość i skrętność. Dobrze wymierzając cios możesz uderzyć i pozbawić życia wroga zanim ten zorientuje się, że byłeś w pobliżu.
str_tutorial_info_19|Wyśmienicie! Teraz już znasz najważniejsze aspekty walki kawaleryjskiej.
str_tutorial_info_20|Rozpoczynamy ostatnią część szkolenia! Czas zapoznać się z tajnikami artylerii. ^Podejdź do działa i weź kilka sztuk amunicji ze skrzyni. ^^Występują trzy główne typy amunicji artyleryjskiej: ^Pociski kulowe są uniwersalne i znakomicie sprawdzają się przeciwko budynkom; ^Pociski kasetowe rozpryskują się, siejąc spustoszenie przed działem. Nie sprawdzają się jednak na większych odległościach; ^Pociski wybuchowe są niesłychanie efektywne przeciwko oddziałom wroga, gdyż podczas eksplozji rozpryskują się na wiele fragmentów. Ładunki wybuchowe nie są jednak dostępne dla zwykłych dział.
str_tutorial_info_21|Umieść amunicję w lufie na przedzie działa. Aby to zrobić, spójrz na przód działa i przytrzymaj klawisz ''F''.
str_tutorial_info_22|Teraz musisz użyć dosyłacza, aby załadować działo. Ponownie spójrz na przód działa i przytrzymaj klawisz ''F''.
str_tutorial_info_23|Zanim będziesz mógł wystrzelić, musisz ustawić działo w odpowiedniej pozycji. Aby to zrobić, spójrz na działo i przytrzymaj klawisz ''F''.
str_tutorial_info_24|Dobrze, a teraz stań na tyłach działa tak, aby zobaczyć komendę ''Przejmij kontrolę''. Gdy tak się stanie, naciśnij klawisz ''F'', aby przejąć kontrolę nad działem.
str_tutorial_info_25|Teraz działo znajduje się pod Twoją kontrolą, sir! Jak się już domyślasz, celować możesz za pomocą myszy. Naciskając LPM wystrzelisz z działa, a PPM spowoduje porzucenie armaty. W celach szkoleniowych, wyceluj w pobliską chatę i wystrzel z działa naciskając LPM.
str_tutorial_info_26|To już koniec samouczka. Teraz znasz wszystkie podstawy walki w Mount&Blade: Napoleonic Wars. Naciśnij ''TAB'', aby opuścić samouczek. ^^Powodzenia na polu walki, sir! Spocznij - czas na herbatę i herbatniki!
str_vienna_1|Crates cleared: {reg0}/{reg1}
str_austerlitz_1_1|Waves defeated: {reg0}/{reg1}
str_dresden_1_1|Attackers defeated: {reg0}/{reg1}
str_dresden_1_2|Waves defeated: {reg0}/{reg1}
str_dresden_2_1|Squares destroyed: {reg0}/{reg1}
str_dresden_2_2|Lines destroyed: {reg0}/{reg1}
str_cutscene_vienna_1|The Danube River, the second longest in Europe, divides the Austrian Empire in two. ^Following their failure in the Ulm campaign, the Austrian Army is retreating across the river at Vienna.
str_cutscene_vienna_2|The French advance guard, however, is not far behind. ^All other bridges being destroyed, the crossing at Vienna is vital for the French.
str_cutscene_vienna_3|Should the Austrians notice a French attempt at crossing they will blow up the bridge. ^If they succeed, the French will be unable to pursue the retreating allied army and the victory at Ulm will be for nothing.
str_cutscene_vienna_4|As such the French marshals, Murat and Lannes, are in a though spot; ^They need to get across the bridge without the Austrians noticing.
str_cutscene_vienna_5|To do so, they have decided to deploy a ruse: ^Murat and Lannes will attempt to convince the Austrians that a truce has already been signed.
str_cutscene_vienna_6|Meanwhile, you will have to silently clear the bridge so the army can cross...
str_cutscene_austerlitz_1_1|You arrive at the battlefield near the village of Sokolnitz. ^Scouts report the Russians have captured the village and you are to retake it.
str_cutscene_austerlitz_1_2|Look! Someone is approching.
str_cutscene_austerlitz_1_3|Messenger: 'The Russians have capture the village! It is vital that you retake it!'
str_cutscene_austerlitz_1_4|It would seem the battle is closer than we thought. ^Very well then, retake the village from the Russians!
str_cutscene_austerlitz_1_5|The village is back under French control, well done! ^But the Russians are already sending soldiers to recapture it, make sure they won't succeed.
str_cutscene_austerlitz_1_6|Reinforcements have arrived!
str_cutscene_austerlitz_1_7|You have successfully defended the village form the enemy. ^This will greatly help us on our path to victory!
str_cutscene_austerlitz_1_8|Another messenger!
str_cutscene_austerlitz_1_9|Messenger: 'The general has heard of your great success in capturing and holding the village ^You'd better go and tell the Emperor himself of these good news!
str_cutscene_dresden_1_1|The City of Dresden, Capitol of Saxony. ^The city is under heavy attack by Coalition forces and you have to help saving it.
str_cutscene_dresden_1_2|The Russians have already taken the walls and more of them are preparing an assault on the gates. ^Your orders are to clear the walls while your allies move and hold the gates.
str_cutscene_dresden_1_3|The walls are safe for now, but the threat to the city is not yet averted. ^Your allies by the gate can't hold out much longer, you need to help them!
str_cutscene_dresden_1_4|The first assault has been broken down, but the enemy is already sending more men to attack. ^You must not let them get past the gate again!
str_cutscene_dresden_1_5|The Russian attack lines are growing thinner and the pressure on the walls are easying. ^The general have been able to spare some men to support you.
str_cutscene_dresden_1_6|The assault has come to a stop and the enemy are in disarray. ^Use this oportunity to sally out and drive the enemy away from the city!
str_cutscene_dresden_2_1|While the defense of the city was a success, the outlying farms and villages are still in enemy hands. ^Your orders are to liberate this village from Austrian control.
str_cutscene_dresden_2_2|But to do so, you must first clear the area of any Austrians still out in the open. ^Scout report that there is a group of four companies ahead of your position.
str_cutscene_dresden_2_3|Unfortunatly they have already noticed your dragoons and have formed squares to face the threat. ^This will be a though fight, as your infantry and artillery are still way behind and cannot support you.
str_cutscene_dresden_2_4|But it seems that the Austrian commander have ventured a bit too far from his troops! ^If you can capture him, his men might lose heart and the figthing ahead will be easier...
str_cutscene_dresden_2_5|The squares have been defeated, but the enemy still holds the village. ^It is time to attack and capture it.
str_cutscene_dresden_2_6|Luckily more cavalry is arriving to support you. ^Use it well and victory will be ours. En avant!
str_mission_briefing_1|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_2|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_3|August 26, 1813^We are preparing to march on Drezden, where our small garrison was formerly besieged by the far ^superior forces of the Allies. Artillery fire is reported to be so powerful that window glass ^shakes even 10 kilometers from the city.^^The original plan was to raid and disrupt Allied communications, ^but the Emperor revised his plan two days ago when he learned of a threat on the Saxon capital. ^When he discovered the scale of the threat, he sent us to save the city, while the bulk of his ^forces proceeded with General Vandamme to continue with the raid as originally planned.^It is no surprise that the Allied forces will attempt to seize Dresden. Its defenses are miserable, ^and the garrison is quite insufficient. But Napoleon intends to give the Allies an unpleasant ^surprise of their own, for the Allies are not scouting anywhere near the area that we are approaching from.^^We have a strong force, and numerous cavalry guided by Prince Murat himself. Unfortunately, ^the weather seems to be getting worse and worse, and it probably will be raining by the time ^we reach Dresden. Under such circumstances, the benefits we might reap from our superior cavalry ^will significantly decrease.^^Myself, I welcome the battle. Finally we may take our revenge upon the Russians, for what we have ^suffered these past six months. I have tried to forget what horrors we witnessed on the way from ^Moscow to Berezina, but the images still come unbidden to my mind. These nightmares shall likely ^pursue me to the end of my days. ^We must win this battle, and this war, that our comrades shall not have died in vain.
str_mission_briefing_4|September 5, 1812^^I grow tired of this war. The march has been tolerable, but the past few days were difficult, ^and I am only now recovering from an illness. Blast, the climate is terrible! Scorching hot days, ^cold nights, dry air. There are no more Russian peasants to be seen. They’ve burned their houses and fled, ^leaving little to sustain us on the long march towards Moscow.^^Our men grow tired as well. For too long, they have been biting at the heels of a fleeing enemy. ^But they are cheerful that the march is nearing its end, and gladly greet the coming battle. ^We call the Russians cowards, and imagine a swift victory, that we may return to the arms of our loved ones. ^Our soldiers even ask permission to wear parade uniforms into the battle. Our hopes and weariness have ^blinded us: the men do not see that the most difficult challenge is yet to come.^^Meanwhile, the Russian soldiers have halted their retreat, and instead are digging in for the final stand.^^Their preparations are covered by a great redoubt at Shevardino. It is well away from their rear positions, ^which makes it a fine target. Marshall Davout has received orders to capture the redoubt as quickly as ^possible. I am to join the troops of General Compans in this attack, to ensure that everything goes as planned.^^But I am wary. Never before have I seen such fortifications! I have grown certain that these Russians ^are no cowards. ^They will retreat no further, but will defend their Moscow to the dying breath.
str_mission_briefings_end|mission briefings end
str_map_changed|Zmiana mapy.
str_round_changed|Nowa runda się rozpoczęła.
str_teamkilled_s1_s2_horse|{s1} zabił {s2}'s konia.
str_teamwounded_s1_s2|{s1} uderzył {s2} {reg60} zdrowia.
str_teamwounded_s1_s2_horse|{s1} uderzył {s2}'s konia {reg60} zdrowia.
str_revive_player|Wskrześ gracza
str_revive_all|Wskrześ wszystkich
str_revive_player_s2_s3|{s2} wskrzesił gracza {s3}.
str_revive_all_s2|{s2} Wskrzesił wszystkich
str_cheat_god_mode|Nieśmiertelność
str_cheat_god_mode_s3_s2|{s2} włączył nieśmiertelność dla {s3}.
str_cheat_god_mode_s3_s2_2|{s2} wyłączył nieśmiertelność dla {s3}.
str_suicide_player|Samobójstwo
str_s2_suicide|{s2} popełnił samobójstwo
str_admin_set_limit_surgeon_s0_reg1|{s0} Ustaw limit medyków do {reg1} % zespołu.
str_limit_surgeon|Limit medyków na drużynę (%):
str_admin_set_limit_arty_train_s0_reg1|{s0} Ustaw limit pociągów artyleryjskich do {reg1} % zespołu.
str_limit_arty_train|Limit pociągów artyleryjskich na drużynę (%):
str_admin_set_groupfight_mode_s0_s9|{s0} Ustaw tryb Groupfight do {s9}.
str_groupfight_mode|Wyłącz broń zasięgową (groupfighting)
str_admin_set_competitive_score_mode_s0_s9|{s0} Ustaw tryb kompetetywny do (s9)
str_competitive_score_mode|Kompetetywna tablica wyników
str_more_admin_tools|Więcej narzędzi admina
str_choose_an_admin_tool|Wybierz narzędzie admina:
str_spawn_player|Odrodź gracza.
str_spawn_all|Odrodź wszystkich.
str_spawn_all_s2|{s2} odrodził wszystkich.
str_spawn_player_s2_s3|{s2} odrodził gracza (s3)
str_welcome_message_toggle|Wiadomość powitalna została ustawiona:
str_commit_suicide|Czy jesteś pewny, że chcesz zginąć?
str_no_line_inf_spread|Wyłącz graczą możliwość rozpraszania się.
str_admin_set_no_line_inf_spread_s0_s9|{s0} Wyłącz możliwość rozpraszania się graczy z oddziału liniowego do (s9)
str_line_inf_spread|Aktualne ustawienia serwera nie pozwalają oddziałom piechoty liniowej rozproszyć się poza ich początkowe zgrupowanie.
str_num_custom_maps|Wybierz # z dostępnych własnych map. 
str_admin_set_num_custom_maps_s0_reg1|{s0} Wybierz liczbę dostępnych własnych map do wyboru z {reg1}.
str_no_rambo_warning|Jesteś za daleko od pododziału! Nie możesz zadawać obrażeń!
str_admin_set_no_rambo_s0_s9|{s0} Wyłącz możliwosć zadawania obrażeń graczą oddalonych od pododziału do {s9}.
str_no_rambo_range|Maksymalny dystans od pododziału w metrach :
str_admin_set_no_rambo_range_s0_reg1|{s0} Ustalono maksymalną odległośc od pododziału do {reg1} metrów.
str_set_admin_true_s2|{s2} został adminem przez whitelist'e.
str_set_admin_false_s2|{s2} uprawnienia admina zostały zabrane, nie poprzez whitelist'e.
str_return_set_admin_true_s2|{s2}, zostały Ci przyznane uprawnienia admina przez whitelist'e.
str_return_set_admin_false_s2|{s2}, twoje uprawnienia admina zostały unieważnione przez whitelist'e.
str_admin_white_list_is_enabled|Admin whitelist jest włączona.
str_admin_white_list_is_disabled|Admin whitelist jest wyłączona.
str_admin_white_list_added_key_reg0|Dodano klucz {reg0} do admin whitelist'y.
str_healed_player_s2_reg4_reg5|Uleczono gracza {s2} za {reg4}%, obecne zdrowie wynosi: {reg5}%.
str_healed_player_full_s2_reg4|Uleczono gracza {s2} za {reg4}%, i jest on teraz w pełni zregenerowany
str_healed_player_no_more_s2_reg4|Uleczono gracza {s2} za {reg4}%, nie może on zostać dalej zregenerowany
str_not_healed_player_full_s2|Gracz {s2} jest w pełni zregenerowany
str_not_healed_player_no_more_s2|Gracz {s2} nie może zostać dalej zregenerowany
str_got_healed_player_s2_reg4_reg5|Gracz {s2} uleczył cię za {reg4}%, obecne zdrowie wynosi: {reg5}%.
str_got_healed_player_full_s2_reg4|Gracz {s2} uleczył cię za {reg4}%, jesteś w pełni zregenerowany.
str_got_healed_player_no_more_s2_reg4|Gracz {s2} uleczył cię za {reg4}%, nie możesz zostać dalej zregenerowany
str_not_got_healed_player_full_s2|Gracz {s2} nie może cię uleczyć, jesteś w pełni zregenerowany.
str_not_got_healed_player_no_more_s2|Gracz {s2} nie może cię uleczyć, nie możesz zostać dalej zregenerowany
str_healed_player_horse_s2_reg4_reg5|Uleczono twojego/wasze {s2} konia/konie za {reg4}%, obecne zdrowie wynosi: {reg5}%.
str_healed_player_horse_full_s2_reg4|Uleczono twojego/wasze  {s2} konia/konie za {reg4}%, i jest on w pełni zregenerowany
str_healed_player_horse_no_more_s2_reg4|Uleczono twojego/wasze  {s2} konia/konie za {reg4}%, i nie może/mogą on/one zostać dalej zregenerowany/e
str_not_healed_player_horse_full_s2|Gracz {s2}'e posiadający konia - twój/wasz koń jest w pełni zregenerowany
str_not_healed_player_horse_no_more_s2|Gracz {s2}'e posiadający konia - twój/wasz koń nie może zostać zregenerowany
str_got_healed_player_horse_s2_reg4_reg5|Gracz {s2} uleczył twojego konia za {reg4}%, obecne zdrowie wynosi: {reg5}%.
str_got_healed_player_horse_full_s2_reg4|Gracz {s2} uleczył twojego konia za {reg4}%, i jest on w pełni zregenerowany
str_got_healed_player_horse_no_more_s2_reg4|Gracz {s2} uleczył twojego konia za {reg4}%, i nie można go dalej zregerować
str_not_got_healed_player_horse_full_s2|Gracz {s2} nie może uleczyć twojego konia, koń jest już uleczony
str_not_got_healed_player_horse_no_more_s2|Gracz {s2} nie może uleczyć twojego konia, nie może on zostać dalej zregernerowany
str_healed_horse_s2_reg4_reg5|Uleczono {s2} konia za {reg4}%, obecne zdrowie wynosi: {reg5}%.
str_healed_horse_full_s2_reg4|Uleczono {s2} konia za {reg4}%, i jest on w pełni zregenerowany
str_healed_horse_no_more_s2_reg4|Uleczono {s2} konia za {reg4}%, i nie można go dalej zregerować
str_not_healed_horse_full_s2|Gracz {s2} koń jest już uleczony
str_not_healed_horse_no_more_s2|Gracz {s2} koń nie może zostać uleczony
str_royale_weapon_musket|Podnieś muszkiet
str_royale_weapon_pistol|Podnieś pistolet
str_royale_weapon_carabine|Podnieś karabin
str_royale_weapon_smallsword|Podnieś tasak
str_royale_weapon_bigsword|Podnieś pałasz
str_royale_weapon_bottle|Podnieś butelkę
str_royale_weapon_axe|Podnieś topór
str_royale_weapon_spear|Podnieś pikę
str_royale_weapon_club|Podnieś pałkę
str_royale_weapon_tool|Podnieś narzędzie
str_royale_weapon_ramrod|Podnieś stempel
str_royale_weapon_lighter|Podnieś lontownice
str_royale_weapon_ammo|Podnieś amunicję
str_royale_weapon_ammo_pistol|Podnieś amunicję do pistoletu
str_royale_weapon_ammo_musket|Podnieś amunicję do muszkietu
str_welcome_message_server|Witaj, {s3}, twoje ID to {reg44}. Przestrzegaj zasad i baw się dobrze!
