str_no_string|STRING MANQUANT !
str_mp_hungarian_plains_flag_3|Le Moulin
str_mp_hungarian_plains_flag_4|La Maison Abandonnée
str_mp_hungarian_plains_flag_5|La Cabane
str_mp_hungarian_plains_flag_6|La Propriété
str_mp_landshut_flag_1|Landshut
str_mp_landshut_flag_2|La route vers Abensberg
str_mp_landshut_flag_3|Les Environs du Landshut
str_mp_landshut_flag_4|Le Pont
str_mp_landshut_flag_5|Le Blockhaus
str_mp_landshut_flag_6|La Ferme
str_mp_landshut_flag_7|La traversée
str_mp_russian_village_flag_1|Village de Bucherons
str_mp_russian_village_flag_2|Village de Chasseurs
str_mp_russian_village_flag_3|Village Russe
str_mp_minden_flag_1|Minden
str_mp_minden_flag_2|Basecamp
str_mp_minden_flag_3|drapeau 3
str_mp_minden_flag_4|Signaler 4
str_mp_minden_flag_5|Signaler 5
str_mp_minden_flag_6|Signaler 6
str_mp_minden_flag_7|Signaler 7
str_mp_minden_flag_8|Signaler 8
str_mp_minden_flag_9|Signaler 9
str_mp_oaksfield_flag_1|Quartier Général 1
str_mp_oaksfield_flag_2|Quartie Général 2
str_mp_oaksfield_flag_3|Ferme
str_mp_oaksfield_flag_4|Marché
str_mp_oaksfield_flag_5|Chêne-Ville
str_mp_quatre_bras_flag_1|Pireaumont
str_mp_quatre_bras_flag_2|Quatre-Bras
str_mp_quatre_bras_flag_3|Bois-Bossu 
str_mp_quatre_bras_flag_4|Petit Pireaumont
str_mp_quatre_bras_flag_5|Gemioncourt
str_mp_river_crossing_flag_1|Redoute 1
str_mp_river_crossing_flag_2|Redoute 2
str_mp_river_crossing_flag_3|Ville de Martinitz
str_mp_roxburgh_flag_1|Signaler une
str_mp_roxburgh_flag_2|Drapeau 2
str_mp_roxburgh_flag_3|drapeau 3
str_mp_roxburgh_flag_4|Signaler 4
str_mp_roxburgh_flag_5|Signaler 5
str_mp_roxburgh_flag_6|Signaler 6
str_mp_roxburgh_flag_7|Signaler 7
str_mp_schemmerbach_flag_1|Ferme de Schmmerbach 
str_mp_schemmerbach_flag_2|Pont de Schemmerbach 
str_mp_schemmerbach_flag_3|Franchissement de la rivière
str_mp_schemmerbach_flag_4|Champs de Chanvre
str_mp_slovenian_village_flag_1|Route du village Slovène
str_mp_slovenian_village_flag_2|Port
str_mp_slovenian_village_flag_3|Village Slovène
str_mp_slovenian_village_flag_4|Forêt
str_mp_slovenian_village_flag_5|Rivière
str_mp_champs_elysees_flag_1|Avenue ouest
str_mp_champs_elysees_flag_2|Avenue Est
str_mp_champs_elysees_flag_3|Quart Sud-Ouest 
str_mp_champs_elysees_flag_4|Quart Sud-Est 
str_mp_champs_elysees_flag_5|Quart Nord-Est 
str_mp_champs_elysees_flag_6|Quart nord-ouest
str_mp_champs_elysees_flag_7|Arc de Triomphe
str_mp_fort_vincey_flag_1|Fort Whittington
str_mp_fort_vincey_flag_2|La petite Redoute
str_mp_fort_vincey_flag_3|La Redoute avancée
str_mp_fort_vincey_flag_4|La Tranchée
str_mp_fort_vincey_flag_5|La Grande Redoute
str_mp_swamp_flag_1|Le Camp
str_mp_swamp_flag_2|Siegburg
str_mp_swamp_flag_3|Le Pont
str_mp_swamp_flag_4|L'ile du Marais
str_mp_swamp_flag_5|Route Principale
str_mp_swamp_flag_6|Cimetière
str_mp_swamp_flag_7|Maison de Pêcheur
str_mp_walloon_farm_flag_1|Camp Est
str_mp_walloon_farm_flag_2|Camp Ouest
str_mp_walloon_farm_flag_3|Colline Est
str_mp_walloon_farm_flag_4|Ferme
str_mp_walloon_farm_flag_5|Colline Ouest
str_mp_walloon_farm_flag_6|Redoute
str_mp_pyramids_flag_1|Main Spawn{***}
str_mp_pyramids_flag_2|Main Spawn{***}
str_mp_pyramids_flag_3|Quarry{***}
str_mp_pyramids_flag_4|Great Pyramid{***}
str_mp_pyramids_flag_5|Temple{***}
str_mp_pyramids_flag_6|Fields{***}
str_mp_pyramids_flag_7|Island{***}
str_mp_pyramids_flag_8|Outpost{***}
str_mp_pyramids_flag_9|Village{***}
str_scene_making_welcome_message|Bienvenue dans le mode de jeu édition de scène ^ Ici, vous pouvez créer de nouvelles scènes  ou modifier celles qui existent déjà ^ ^ Les paramètres des props : ^ ^ # Météo : ^ spr la météo en temps mm # var1 = temps de la journée 0-23; par défaut = 15 (heures) ^ pluie spr météo mm # var1 type de pluie = 1 = 2 = la pluie la neige, var2 quantité de pluie = 0,25 ^ nuages ??spr météorologiques mm # var1 = nébulosité 0-100; par défaut = 30 ^ brouillard spr météo mm # var1 = distance de brouillard en mètres x 10, où le brouillard complètement la visibilité des blocs. 1-127 ^ tonnerre spr météo mm # var1 = type de tonnerre: 0 = aucun 1 = tonnerre seulement 2 = tonnerre et d'éclairage, ^ # var2 = tonnerre fréquence 0-100; la valeur plus élevée plus le tonnerre ^ ^ Les accessoires de porte #: ^ Toutes les portes ouvrantes # var1 propriété équipe = 1 = Equipe1 pouvez ouvrir, 2 = Team2 peut ouvrir; d'autre tout le monde peut ouvrir ^ ^ # Réglage des accessoires Cannon:. ^ spr mm frayer avec des canons # Si on les ajoute aux sergents d'artillerie carte frayer avec le canon. ^
str_tutorial_info_1|Hells Bells ! Ce café est immonde ! Je voulais du THÉEEEE ! Bon... Vous là-bas ! Bienvenue sur le didacticiel de Mount & Blade Warband: Napoleonic Wars mon brave homme. ^ Maintenant, pour commencer votre formation, utilisez les touches  ZQSD pour vous déplacer jusqu'à la position indiquée par la flèche. Vous pouvez utiliser la souris pour regarder autour de vous, d'autant plus qu'il faut repérer les Français ! Hein ? Bleeehaha !
str_tutorial_info_2|Vous voyez cette superbe création des ingénieurs britanniques, juste en face de vous ? Regardez ce mousquet et appuyez sur «F» pour le ramasser!
str_tutorial_info_3|Wonderful ! Vous êtes armé, monsieur! Maintenant, nous allons causer un peu de dégâts à ces cibles. ^ Maintenez enfoncé le bouton gauche de la souris pour viser avec votre fusil et utilisez votre souris pour changer la direction de votre visée. Notez que les fusils sont quelque peu imprévisibles, en fait, il sont terriblement inprécis. Bleahaha! ^ Une fois que vous êtes bien sur la cible, vous pouvez  lâcher le bouton gauche de la souris afin de tirer !
str_tutorial_info_4|Pas de chance ! Il semble que vous ayez raté la cible. Il est temps de recharger votre arme et d'essayer à nouveau. ^ Pour recharger, cliquez sur le bouton gauche de la souris et attendez que votre personnage ait fini de recharger. Il faudra quelques secondes, soyez patient. Rappelez-vous cependant, vous ne pouvez pas vous déplacer pendant le rechargement. ^ Une fois que vous avez rechargé, visez mieux pour toucher les cibles. Ne vous inquiétez pas si vous manquez, vous pouvez toujours recharger et réessayer.
str_tutorial_info_5|Bravo monsieur ! Maintenant, si vous le souhaitez, vous pouvez continuer à pratiquer le tire. ^ Autrement, si vous vous sentez que vous avez obtenu le coup, vous pouvez passer à la prochaine zone sur la gauche, où la flèche est pointée.
str_tutorial_info_6|Bravo monsieur ! Si vous le souhaitez, monsieur, vous pouvez recharger votre arme et faire feu à nouveau. ^ Pour recharger, cliquez sur le bouton gauche de la souris et attendez que votre personnage ait fini de recharger. Il faudra quelques secondes, soyez patient. Rappelez-vous cependant, vous ne pouvez pas vous déplacer pendant le rechargement. ^ Si vous pensez avoir terminé, vous pouvez passer à la prochaine zone sur la gauche, indiquée par la flèche.
str_tutorial_info_7|Il-y-a des moments dans la bataille où il est préférable de combattre à la main ces saletés de Français, et c'est pourquoi votre fusil est équipé d'une baïonnette. ^ Cependant, votre fusil est actuellement en « mode tir », pour utiliser la baïonnette vous avez besoin de le passer en « mode mêlée ». Le bouton pour basculer entre ces modes est « X ». Appuyez dessus maintenant.
str_tutorial_info_8|Excellent. Vous êtes maintenant en mode mêlée et prêt à charger les mannequins avec votre baïonnette. ^ MAIS! Avant de faire cela, il-y-a une autre chose que vous devriez savoir à ce sujet. ^ Vous n'avez pas à vous tenir debout tout le temps, vous pouvez aussi vous accroupir. 'W' vous permet de le faire.
str_tutorial_info_9|Bon ! Comme vous pouvez le voir vous êtes maintenant accroupi. Puisque vous êtes également en mode « mêlée » vous pouvez voir que votre personnage prépare sa baïonnette. C'est très efficace contre les charges frontales de cavalerie. ^ Levez-vous pour continuer. ^ Pour ce faire, réappuyez sur <<W>> ou utilisez les touches de déplacement.
str_tutorial_info_10|Passons maintenant à l'attaque et à la défense. ^ Pour attaquer, appuyez sur le bouton gauche de la souris tout en déplaçant la souris dans la direction souhaitée. Votre fusil à baïonnette ne comporte que deux directions: haut et bas. ^ D'autres armes peuvent avoir d'autres directions. Les épées, par exemple, ont quatre directions d'attaque : haut, bas, gauche et droite. Pour libérer votre attaque, lâchez le bouton gauche de la souris. ^ La Défense fonctionne de façon similaire. Maintenez le bouton droit de la souris tout en déplaçant la souris dans la direction où vous souhaitez parer. Toutes les armes peuvent parer dans les quatre directions. Assurez-vous que vous bloquez une attaque de votre ennemi depuis la bonne direction, ou biien ces froggies feront ce travail plus rapidement que vous. ^ ^ Maintenant, la pratique, avec votre baïonnette, détruisez tous les mannequins dans la zone.
str_tutorial_info_11|Well done !
str_tutorial_info_12|Maintenant que vous maîtrisez les rudiments du combat d'infanterie, nous allons passer à la cavalerie. ^ Vous avez reçu un étrès bel équipement et un magnifique cheval.. Pour monter à cheval, marchez jusqu'à lui et appuyez sur «F».
str_tutorial_info_13|Alors vous l'avez monté ? Excellent. Pour vous déplacer, vous utliserez donc les touches "ZQSD", mais les bases du mouvement sont légèrement différentes : «Z» permettra d'augmenter votre vitesse et 'S' de la diminuer, tandis que «Q» et «D» tournerons votre cheval. En déplaçant la souris vous pouvez regarder autour de vous. Essayez de rejoindre la flèche.
str_tutorial_info_14|Merveilleux ! Maintenant arrêtez votre cheval. Il est temps de faire quelques tirs à cheval. Vous voyez ces cibles là-bas ? Le tir à cheval est très similaire au tir à pied, utilisez ce que vous avez appris et tirez sur les cibles.
str_tutorial_info_15|Oh enfer et chevrotines ! Vous l'avez manqué ! Ne vous inquiétez pas cependant, vous pouvez recharger et réessayer, tout comme avant. Mais rappelez-vous, vous visez mieux en étant à l'arrêt. Vous pouvez essayer de nouveau, une fois que vous avez rechargé votre arme.
str_tutorial_info_16|Maintenant que vous avez réussi, Vous pouvez continuer à pratiquer le tir monté un peu plus, si vous le souhaitez. ^ ^ Une fois que vous êtes prêt à continuer, nous allons découvrir les joies des bases de la mêlée à cheval. Vous aurez besoin d'une épée pour cela. Pour passer à l'épée, faites défiler vers le haut la molette de la souris.
str_tutorial_info_17|Bravo ! Vous pouvez continuer à tirer si vous le souhaitez. N'oubliez pas, vous visez mieux à cheval si vous êtes à l'arrêt. ^ ^ Une fois que vous êtes prêt à continuer, nous allons découvrir les joies des bases de la mêlée à cheval. Vous aurez besoin d'une épée pour cela. Pour passer à l'épée, faites défiler vers le haut la molette de la souris.
str_tutorial_info_18|Les combats au corps à corps à cheval sont similaire aux combats à pied. Donc chevauchez vers ces mannequins et détruisez-les. ^ Essayez de les frapper, tout en maintenant le mouvement, car rester immobile supprime les avantages de dégâts de vitesse et de manoeuvrabilité.
str_tutorial_info_19|Splendide ! Vous connaissez maintenant les aspects les plus importants du combat de cavalerie.
str_tutorial_info_20|Enfin ! Il est l'heure de votre formation d'artillerie. ^ Allez au canon et prennez ces munitions dans la boite. ^ Il-y-a trois principaux types de munitions: ^ Le boulet est un coup de feu à usages multiples et est particulièrement utile contre les bâtiments. ^ La mitraille tue quiconque passant à l'avant du canon, mais elle est inefficace sur les cibles lointaines. ^ Les obus explosifs sont extrêmement efficaces contre les troupes ennemies car ils explosent en envoyant des fragments de métal qui volent dans toutes les directions. Ces obus explosifs ne sont cependant pas disponibles pour les canons classiques.
str_tutorial_info_21|Mettez les munitions dans le canon par l'avant. Pour ce faire, regardez sur le devant du canon, une fois que vous voyez "Placer les munitions", maintenez la touche «F» jusqu'à ce que la barre de progression atteingne la fin.
str_tutorial_info_22|Maintenant, vous devez utiliser votre baguette pour recharger le canon. Encore une fois, regardez sur le devant du canon et maintenez «F» jusqu'au chargement complet.
str_tutorial_info_23|Avant de pouvoir tirer, vous devez pousser le canon vers l'avant. Pour ce faire, regardez l'arrière du canon et maintenez la touche 'F'.
str_tutorial_info_24|Enfin, regardez à l'arrière du canon jusqu'à ce que vous voyez "Prendre le contrôle". Alors appuyez sur 'F' pour prendre le contrôle du canon.
str_tutorial_info_25|Maintenant vous pouvez contrôler le canon ! Encore une fois, utilisez la souris pour viser. En appuyant sur le bouton gauche de la souris le canon fera feu et en appuyant sur le bouton droit de la souris vous allez annuler la commande, mais pour l'instant, faites feu.
str_tutorial_info_26|Ceci est la fin du tutoriel. Vous savez maintenant toutes les bases du combat pour Mount & Blade: Napoleonic Wars. Appuyez sur 'Tabulation' pour quitter ce tutoriel lorsque vous êtes prêt. ^ Bonne chance pour le champ de bataille, monsieur! Onche Onche le Thé :noel: !
str_vienna_1|Les caisses défrichées: {reg0} / {reg1}
str_austerlitz_1_1|Ondes vaincus: {reg0} / {reg1}
str_dresden_1_1|Les pirates vaincus: {reg0} / {reg1}
str_dresden_1_2|Ondes vaincus: {reg0} / {reg1}
str_dresden_2_1|Les Carrés détruits: {reg0} / {reg1}
str_dresden_2_2|Lignes détruits: {reg0} / {reg1}
str_cutscene_vienna_1|Le Danube, le second plus long fleuve d'Europe, divisant l'Empire Autrichien en deux. ^ Après leur échec dans la campagne d'Ulm, l'armée autrichienne se retire par de-là le fleuve à Vienne.
str_cutscene_vienna_2|L'avant-garde française, cependant, n'est pas loin derrière. ^ Tous les autres ponts détruits, la traversée à Vienne est vitale pour les Français.
str_cutscene_vienna_3|Si les Autrichiens remarque la tentative française au croisement, ils feront sauter le pont. ^ Si cela échoue, les Français ne seront pas en mesure de poursuivre l'armée alliée en retraite et la victoire à Ulm sera inutile.
str_cutscene_vienna_4|Comme d'habitude, les maréchaux de France, Murat et Lannes, sont dans bon endroit; ^ Ils ont besoin de passer le pont sans que les Autrichiens s'en aperçoivent.
str_cutscene_vienna_5|Pour ce faire, ils ont décidé de mettre en place un stratagème: ^ Murat et Lannes tenteront de convaincre les Autrichiens qu'une trêve a déjà été signé.
str_cutscene_vienna_6|Pendant ce temps, vous devrez nettoyer silencieusement le pont pour que l'armée puisse traverser ...
str_cutscene_austerlitz_1_1|Vous arrivez au champ de bataille près du village de Sokolnitz. Les éclaireurs ^ signalent que les Russes ont capturé le village et vous devez le reprendre.
str_cutscene_austerlitz_1_2|Regardez ! Quelqu'un approche.
str_cutscene_austerlitz_1_3|Messager: «Les Russes ont réussi à s'emparer du village ! Il est essentiel que vous le reprenniez !
str_cutscene_austerlitz_1_4|Il semblerait que le combat soit plus proche que nous le pensions. ^ Eh bien, reprenons le village aux Russes !
str_cutscene_austerlitz_1_5|Le village est à nouveau sous contrôle français, bien joué ! ^ Mais les Russes ont déjà  envoyé des soldats pour le récupérer, assurez-vous qu'ils ne réussiront pas.
str_cutscene_austerlitz_1_6|Les renforts sont arrivés!
str_cutscene_austerlitz_1_7|Vous avez défendu avec succès le village contre l'ennemi. ^ Cela va grandement nous aider sur notre chemin vers la victoire!
str_cutscene_austerlitz_1_8|Un autre messager!
str_cutscene_austerlitz_1_9|Messager: «Le général a entendu parler de votre grand succès dans la capture et la détention du village ^ Vous feriez mieux d'aller et le dire à l'empereur lui-même.
str_cutscene_dresden_1_1|La ville de Dresde, capitale de la Saxe. ^ La ville est attaquée par les forces de la coalition lourde et vous devez la sauver.
str_cutscene_dresden_1_2|Les Russes ont déjà pris les murs et plusieurs d'entre eux se préparent à un assaut sur les portes. ^ Vos alliés tiennent les portes et vos commandants sillonnent les murs.
str_cutscene_dresden_1_3|Les murs sont sûrs pour l'instant, mais la menace sur la ville n'est pas encore écartée. ^ Vos alliés à la porte ne peuvent pas tenir beaucoup plus longtemps, vous devez les aider !
str_cutscene_dresden_1_4|Le premier assaut a été anéanti, mais l'ennemi envoi djà plus d'hommes pour attaquer. ^ Vous ne devez pas les laisser aller au-delà de la porte !
str_cutscene_dresden_1_5|Les lignes d'attaque russes sont de plus en plus mince et la pression sur les murs est d'autant plus faible. ^ Le général a pu épargner quelques hommes pour vous soutenir.
str_cutscene_dresden_1_6|L'assaut s'est arrêté et l'ennemi est en plein désarroi. ^ Utilisez cette opportunité pour faire une sortie dehors et chasser l'ennemi loin de la ville !
str_cutscene_dresden_2_1|Alors que la défense de la ville a été un succès, les fermes isolées et les villages sont encore aux mains de l'ennemi. ^ Vos ordres sont de libérer ce village de la domination Autrichienne.
str_cutscene_dresden_2_2|Mais pour ce faire, vous devez d'abord nettoyer la zone de tous les Autrichien. ^ Un rapport indique que quatre régiment arrivent sur votre position.
str_cutscene_dresden_2_3|Malheureusement, ils ont déjà remarqué vos dragons et ont formé des carrés pour faire face à la menace. ^ Ce sera une lutte, étant donné que votre infanterie et votre artillerie sont encore loin derrière et ne peuvent pas vous aider.
str_cutscene_dresden_2_4|Mais il semble que le commandant Autrichien se soit aventuré un peu trop loin de ses troupes! ^ Si vous pouvez le capturer, ses hommes pourraient perdre le cœur et le combat à venir sera plus facile ...
str_cutscene_dresden_2_5|Les carrés ont été vaincus, mais l'ennemi occupe toujours le village. ^ Il est temps d'attaquer et de le capturer.
str_cutscene_dresden_2_6|Heureusement votre cavalerie vient d'arrivé et peu maintenant vous soutenir. ^ Utilisez-la bien et la victoire sera nôtre. En avant !
str_mission_briefing_1|1er Décembre, 1805 ^ Ce fut un bon moment de répis, mais maintenant nous marchons à nouveau. Louange à Dieu ce sera notre dernier effort! ^ Il est dit que nous entrerons directement dans la bataille. ^ ^ Le moment passé dans la périphérie de Vienne était sûrement le meilleure moment de la campagne. Des villages riches ^ avec de grandes maisons propres, de la nourriture merveilleuse et le vin - et bien sûr les jolies filles nous ont aidés à ^ ^ regagner notre énergie, nous avions été ébranlés par les marches interminables dans des conditions météorologiques terribles.. Épuisés par notre ^ poursuite des forces alliées en retraite. Il était bon d'oublier, pendant un petit moment ^ ^ Mais notre repos paisible a pris fin soudainement;. Nous avons reçu l'ordre de rejoindre l'armée principale aussi rapidement que possible ^, et maintenant nous marchons vers bataille gaiement une fois de plus. Dans un mois de Mars horrible, nous avons laissé ^ près de la moitié du régiment derrière, mais général Friant est déterminé à arriver sur le champ de bataille à le temps, ^ et aucune pause pour nous tant que nous ne les auront pas rejoints. ^ ^ Les Alliés sont dit beaucoup plus nombreux que nos propres troupes, en particulier dans la cavalerie. Il semble que la bataille sera ^ être sur la défensive cette fois, mais la situation reste confuse. Un messager de l'empereur ^ nous a informé, en passant devant notre colonne, que notre arrière-garde avait été repoussé ^ près d'un endroit appelé Vishau, et bataient en retraite vers Austerlitz ^ ^ je n'ose pas en parler, mais les pensées de la bataille à venir me remplissaient de terreur. Marengo était le dernière. ^ Eh bien, je devrais dire la seule bataille importante à laquelle j'ai participé, et ce fut il y a près de 5 ans. J'ai encore ^ des souvenirs des choses horribles que j'ai vues ce jour-là, et j'en tremble encore rien que d'y penser. ^ Heureusement, j'ai été en mesure de cacher mes sentiments jusqu'à ce jour; ^ nos hommes méprisent la lâcheté, et la traite comme une trahison.
str_mission_briefing_2|1er Décembre, 1805 ^ Ce fut un bon moment de répis, mais maintenant nous marchons à nouveau. Louange à Dieu ce sera notre dernier effort! ^ Il est dit que nous entrerons directement dans la bataille. ^ ^ Le moment passé dans la périphérie de Vienne était sûrement le meilleure moment de la campagne. Des villages riches ^ avec de grandes maisons propres, de la nourriture merveilleuse et le vin - et bien sûr les jolies filles nous ont aidés à ^ ^ regagner notre énergie, nous avions été ébranlés par les marches interminables dans des conditions météorologiques terribles.. Épuisés par notre ^ poursuite des forces alliées en retraite. Il était bon d'oublier, pendant un petit moment ^ ^ Mais notre repos paisible a pris fin soudainement;. Nous avons reçu l'ordre de rejoindre l'armée principale aussi rapidement que possible ^, et maintenant nous marchons vers bataille gaiement une fois de plus. Dans un mois de Mars horrible, nous avons laissé ^ près de la moitié du régiment derrière, mais général Friant est déterminé à arriver sur le champ de bataille à le temps, ^ et aucune pause pour nous tant que nous ne les auront pas rejoints. ^ ^ Les Alliés sont dit beaucoup plus nombreux que nos propres troupes, en particulier dans la cavalerie. Il semble que la bataille sera ^ être sur la défensive cette fois, mais la situation reste confuse. Un messager de l'empereur ^ nous a informé, en passant devant notre colonne, que notre arrière-garde avait été repoussé ^ près d'un endroit appelé Vishau, et bataient en retraite vers Austerlitz ^ ^ je n'ose pas en parler, mais les pensées de la bataille à venir me remplissaient de terreur. Marengo était le dernière. ^ Eh bien, je devrais dire la seule bataille importante à laquelle j'ai participé, et ce fut il y a près de 5 ans. J'ai encore ^ des souvenirs des choses horribles que j'ai vues ce jour-là, et j'en tremble encore rien que d'y penser. ^ Heureusement, j'ai été en mesure de cacher mes sentiments jusqu'à ce jour; ^ nos hommes méprisent la lâcheté, et la traite comme une trahison.
str_mission_briefing_3|26 Août, 1813 ^ Nous nous préparons à marcher sur Dresde, où notre petite garnison était autrefois assiégée par les forces d'élite ^ supérieures des Alliés. Les tirs d'artillerie est réputé pour être si puissant que ^ les vitres tremblent même à 10 kilomètres de la ville. ^ ^ Le plan original était de piller et de perturber les communications alliées, ^ mais l'Empereur a révisé son plan d'il ya deux jours quand il a appris qu'il y avait une menace sur la capitale saxonne. ^ Quand il a découvert l'ampleur de la menace, il nous a envoyé pour sauver la ville, tandis que le gros de ses forces ^ procédait avec le général Vandamme et continuait avec l'assaut, comme prévu initialement. ^ Il n'est pas surprenant que les forces alliées ont tenté de saisir Dresde. Ses défenses sont maigres, ^ et la garnison est tout à fait insuffisante. Mais Napoléon a l'intention de donner aux Alliés une surprise désagréable ^ les Alliés n'ont pas était aperçus près de la zone que nous approchons . ^ ^ Nous avons une grande force, et nombreuse cavalerie guidé par le prince Murat lui-même. Malheureusement, ^ le temps semble être de pire en pire, et il pleuvra probablement. ^ nous arrivons à Dresde. Dans de telles circonstances, les avantages que nous pourrions tirer de notre cavalerie ^ supérieure diminuera considérablement. ^ ^ Moi, je me réjouis de la bataille. Enfin nous pouvons prendre notre revanche sur les Russes, sur ces ^ souffrance de ces six derniers mois. J'ai essayé d'oublier ces horreurs, nous avons assisté sur le chemin de Moscou à ^ la Bérézina, mais les images restent. Ces cauchemars sont susceptibles de poursuivre ^ jusqu'à la fin de mes jours. ^ Nous devons gagner cette bataille, et cette guerre, pour que nos camarades ne soit pas morts en vain.
str_mission_briefing_4|Septembre 5, 1812 ^ ^ je suis fatigué de cette guerre. Le mois de mars a été tolérable, mais ces derniers jours ont été difficiles, ^ et je viens seulement de récupérer d'une maladie. Bordel, le climat est terrible ! Des journées brûlantes et chaudes et des nuits glaçiales ^, et l'air sec. Il n'y a plus de paysans russes. Le Tsar a brûlé leurs maisons et ils se sont enfuis, ^ laissant peu pour nous soutenir sur le long mois de Mars vers Moscou ^ ^. Nos hommes se lassent aussi. Pendant trop longtemps, ils ont poursuivit les ennemis en fuite. ^ Mais ils sont joyeux que le mois de mars soit proche de sa fin, et se font un plaisir de la bataille à venir. ^ Nous imaginons les Russes lâches, imaginons une victoire rapide, que nous puissions revenir dans les bras de nos proches. ^ Nos soldats ont même demander la permission de porter des uniformes de parade dans la bataille. Nos espoirs et nos lassitudes nous ^ ont aveuglé: les hommes ne voient pas que le défi le plus difficile est encore à venir ^ ^ En attendant, les soldats russes ont stoppé leur retraite, et préparent la dernière bataille. ^ ^ Leurs préparatifs.. sont couverts par une grande redoute à Chevardino. Il est bien loin de leurs positions arrière, ^ qui en fait une cible facile. Maréchal Davout a reçu des commandes pour saisir la redoute aussi rapidement que possible ^. Je suis pour rejoindre les troupes de Compans générales dans cette attaque, pour s'assurer que tout se passe comme prévu. ^ ^ Mais je me méfie. Jamais je n'ai vu de telles fortifications! J'ai la certitude que ces Russes ^ sont pas des lâches. ^ Ils ne se retireront pas plus loin, mais veulent défendre leur Moscou pour leur dernier soupir.
str_mission_briefings_end|Les briefings de mission fi
str_map_changed|Carte lancée.
str_round_changed|Fin du round.
str_teamkilled_s1_s2_horse|{s1} a TK le cheval de {s2}.
str_teamwounded_s1_s2|{s1} a blessé {s2} et causé {reg60} dégâts.
str_teamwounded_s1_s2_horse|{s1} a blessé le cheval de {s2} et causé {reg60} dégâts.
str_revive_player|Resusciter le joueur
str_revive_all|Resusciter tout le monde
str_revive_player_s2_s3|{s2} a resuscité le joueur {s3}.
str_revive_all_s2|{s2} a resuscité tout le monde.
str_cheat_god_mode|God Mode
str_cheat_god_mode_s3_s2|{s2} a activé le God Mode pour {s3}.
str_cheat_god_mode_s3_s2_2|{s2} a désactivé le God Mode pour {s3}.
str_suicide_player|Suicide
str_s2_suicide|{s2} s'est donné la mort.
str_admin_set_limit_surgeon_s0_reg1|{s0} a établi la limite de chirurgiens à {reg1} % de l'équipe.
str_limit_surgeon|Limite de chirurgiens dans chaque équipe à {reg1} %:
str_admin_set_limit_arty_train_s0_reg1|{s0} A fixé le pourcentage de trains d'artillerie à {reg1} % de l'équipe
str_limit_arty_train|Pourcentage de trains d'artillerie par équipe :
str_admin_set_groupfight_mode_s0_s9|{s0} a réglé le mode groupfight sur {s9}.
str_groupfight_mode|Activer les armes à distance
str_admin_set_competitive_score_mode_s0_s9|{s0} a réglé le mode score compétitif sur {s9}.{***}
str_competitive_score_mode|Mode score compétitif
str_more_admin_tools|Plus d'outils admin
str_choose_an_admin_tool|Choisir un outil admin :
str_spawn_player|Faire spawn le joueur
str_spawn_all|Faire spawn tout le monde
str_spawn_all_s2|{s2} a fait spawn tout le monde.
str_spawn_player_s2_s3|{s2} a fait spawn le joueur {s3}.
str_welcome_message_toggle|Le message de bienvenue est réglé sur {s9}.
str_commit_suicide|Are you sure you want to die?{***}
str_no_line_inf_spread|Empêcher le joueur d'écarter les troupes d'infanterie de ligne.
str_admin_set_no_line_inf_spread_s0_s9|{s0} a réglé l'option empêcher le joueur d'écarter les troupes d'infanterie de ligne sur {s9}.{***}
str_line_inf_spread|Les options actuelles du serveur n'autorisent pas à écarter ou resserer l'infanterie de ligne. Astuce! Changez le nombre de rangs.{***}
str_num_custom_maps|Nombre de cartes custom utilisables
str_admin_set_num_custom_maps_s0_reg1|{s0} a fait passer le nombre de cartes custom utilisables à {reg1}.
str_no_rambo|Désactiver les dommages du jeur éloigné de son escouade.
str_no_rambo_warning|Vous êtes trop éloigné de votre escouade ! Vous ne causez aucun dommage.
str_admin_set_no_rambo_s0_s9|{s0} a réglé l'option désactiver les dommages du jeur éloigné de son escouade sur {s9}.
str_no_rambo_range|Distance maximale depuis l'escouade en mètres :
str_admin_set_no_rambo_range_s0_reg1|{s0} a fait passer la distance maximale depuis l'escouade à {reg1} mètres.
str_set_admin_true_s2|{s2} est ajouté à la whitelist admin.
str_set_admin_false_s2|{s2} n'est plus sur la whitelist admin.
str_return_set_admin_true_s2|{s2}, vous êtes maintenant sur la whitelist admin.
str_return_set_admin_false_s2|{s2}, vous n'êtes plus sur la whitelist admin.
str_admin_white_list_is_enabled|La whitelist admin est activée.
str_admin_white_list_is_disabled|La whitelist admin est désactivée.
str_admin_white_list_added_key_reg0|A ajouté l'ID: {reg0} à la whitelist admin.
str_healed_player_s2_reg4_reg5|Healed player {s2} for {reg4}%, current health: {reg5}%.{***}
str_healed_player_full_s2_reg4|Healed player {s2} for {reg4}%, and is now fully healed.{***}
str_healed_player_no_more_s2_reg4|Healed player {s2} for {reg4}%, and cannot be healed further.{***}
str_not_healed_player_full_s2|Player {s2} is already fully healed.{***}
str_not_healed_player_no_more_s2|Player {s2} cannot be healed further.{***}
str_got_healed_player_s2_reg4_reg5|Player {s2} healed you for {reg4}%, current health: {reg5}%.{***}
str_got_healed_player_full_s2_reg4|Player {s2} healed you for {reg4}%, you are now fully healed.{***}
str_got_healed_player_no_more_s2_reg4|Player {s2} healed you for {reg4}%, you cannot be healed further.{***}
