str_no_string|НЕТ СТРОКИ
str_tutorial_info_8|Прелестно! Теперь Ваше ружье в "режиме рукопашной" и Вы готовы атаковать вон те чучела в штыки.^НО!Перед этим Вам стоило бы узнать еще один весьма важный момент.^Никто не вынуждает Вас постоянно стоять,Вы можете и стать на колено.Для этого нажмите 'Z'.
str_tutorial_info_9|Отлично!Теперь вы встали на колено.Поскольку Вы находитесь в "режиме рукопашной", Ваш персонаж автоматически упер приклад ружья в землю.Этот прием крайне выгоден при отражении кавалерийских атак.Любой конь падет замертво, стоит ему нарваться на штык в галопе или другом более-менее быстром аллюре.^Теперь поднимитесь.Для этого либо нажмите "Z" еще раз, либо двиньтесь в любую сторону.
str_tutorial_info_10|Теперь касательно атак и парирования.Для нанесения удара зажмите левую клавишу мыши, одновременно уводя ее в ту сторону, с которой Вы хотите ударитьб.Ружьем с примкнутым штыком можно нанести только два типа ударов: укол сверху или укол снизу.У других видов оружия можут быть и другие направления ударов. У шпаг их, например, все четыре: сверху, снизу, справа и слева.Для того, чтобы совершить удар, отпустите левую кнопку мыши.^Парирование работает в том же стиле.Зажмите правую кнопку мыши и двиньте саму мышь в том направлении, с которого вам наносится удар.Все виды оружия парируют во всех четырех направлениях.Убедитесь, что блокируете в правильном направлении, иначе лягушатники быстро загонят Вас в ящик.^^Самое время научиться орудовать штыком, истребив все поголовье чучел перед Вами.
str_tutorial_info_11|Хорошая работа!
str_tutorial_info_12|Теперь, когда вы освоили основы пешего боя, давайте пройдемся немного по  кавалерии.^Ну вот, на Вас теперь прекрасно отполированная экипировка и великолепный кивер, а перед Вами - вполне сносный конь.Для того, чтобы оседлать указанного коня, подойдите к нему, посмотрите прямо на него ( в глаза смотреть необязательно, ахаха!)и нажмите 'F'.
str_tutorial_info_13|Итак, уже в седле? Очень хорошо.Для конной езды продолжайте использовать комбинацию "WASD",но принцип движения коня несколько отличается от человеческого: 'W' повышает Вашу скорость, 'S' - снижает ее, в то время как 'A' и 'D' поворачивают лошадь.Движением мыши Вы можете оглянуться по сторонам, но конь не будет автоматически поворачивать в ту сторону, в которую Вы посмотрели.Попробуйте-ка прокатиться на своем коне, руководствуясь стрелками в выборе направления.
str_tutorial_info_14|Восхитительно! Теперь остановите коня.Пора немного пострелять из седла.Видите вон те мишени на расстоянии? Стрельба с коня ничем не отличается от пешей стрельбы, так что используйте уже полученные ранее навыки для поражения своих целей.
str_tutorial_info_15|Ну и ну!Вы промахнулись!Но это не повод для беспокойства, Вы можете зарядить и выстрелить снова, как и раньше.Помните, однако, что для заряжания оружия на коне нужно не двигаться, так же, как и в случае с пехотным оружием.Заряжайте Ваше ружье и попытайте счастья снова.
str_tutorial_info_16|Есть попадание! Можете попрактиковаться еще - если хотите, естественно.^^Как только Вы закончите, мы посвятим Вас в святую святых любого всадника - радость кавалерийской рубки.Для этого Вам, разумеется, не обойтись без сабли, ну или палаша.Прокрутите колесико Вашей мыши вверх чтобы вынуть клинок из ножен.
str_tutorial_info_17|Браво!Если хотите, можете пострелять еще.Помните также, что и здесь при заряжании оружия Вам нельзя двигаться.^^Как только Вы закончите, мы посвятим Вас в святую святых любого всадника - радость кавалерийской рубки.Для этого Вам, разумеется, не обойтись без сабли, ну или палаша.Прокрутите колесико Вашей мыши вверх чтобы вынуть клинок из ножен.
str_tutorial_info_18|Принцип фехтования на коне абсолютно идентичен фехтованию на своих двух, и Вам самое время в этом убедиться.Прогуляйтесь-ка вдоль вон тех чучел и изрубите их в опилки.^Постарайтесь попадать в них прямо в движении, ведь рубя стоя Вы отнимаете у себя два главных преимущества всадника: скорость и маневренность. Правильно расчитав удар в галопе,вы рубанете и даже успете скрыться перед тем, как неприятель поймет, что он уже труп!
str_tutorial_info_19|Отлично! Теперь Вы посвящены в основы кавалерийского боя!
str_tutorial_info_20|Наконец-то!Настало время и  для артиллерийской практики.^Подойдите к пушке и возьмите заряд из маленького зарядного ящика слева.^^Основных типов снарядов три:^Ядро - универсальный снаряд, которых хорош и для уничтожения зданий, и для прорежения неприятельских боевых порядков, и для подавления вражеских батарей;^Картечь - это десятки пуль, заключенные в металическую банку и извергающие настоящий Ад не все и всех перед дулом пушки, но совершенно бесполезные на всех дистанциях кроме близкой;^Гранаты крайне эффективны против столплений вражеских солдат.Они взрываются, разбрасывая смертоносные металлические осколки во все стороны.Гранаты, тем не менее, доступны для использования только крепостными орудиями и гаубицами.Увесистые мортирные бомбы, взрывающиеся при соприкосновении с поверхностью, очень эффективны против зданий и доступны только для мортир.
str_tutorial_info_21|Артиллерийские орудия девятнадцатого века дульнозарядны. Поместите снаряд в дуло пушки.Для этого достаточно посмотреть на переднюю часть ствола,и, увидев текст "Поместить снаряд",зажать клавишу "F" и держать ее пока процесс не будет завершен.
str_tutorial_info_22|Теперь нужно забить снаряд вглубь канала ствола с помощью банника. И снова посмотрите на переднюю часть ствола и зажмите "F" до окончания процесса.
str_tutorial_info_23|Если орудие уже стреляло (что имитируется и в нашем случае), перед совершением нового выстрела пушки следует накатить на первоначальную позицию. Для этого посмотрите на пушку в районе колес и снова зажмите "F".
str_tutorial_info_24|Наконец, посмотрите на занюю часть ствола и найдите надпись "Принять управление". Нажмите"F" чтобы прицелиться.
str_tutorial_info_25|Теперь Вы управляете пушкой.Используйте движения мыши для наведения Вашего орудия.Нажатием правой кнопки мыши Вы отмените прицеливание, но на данный момент нас интересует другая кнопка - левая, с помощью которой Вы можете произвести выстрел.Так и поступите.
str_tutorial_info_26|Ну вот Ваше обучение и подошло к концу.Теперь Вы владеете основами игры в Маунт&Блейд:Наполеоновские войны. Нажмите "Tab" когда будете готовы покинуть эту миссию.^^Удачи на поле боя! А сейчас отправляйтесь в увольнение за чаем с печеньками!
str_vienna_1|Crates cleared: {reg0}/{reg1
str_austerlitz_1_1|Waves defeated: {reg0}/{reg1}
str_dresden_1_1|Attackers defeated: {reg0}/{reg1}
str_dresden_1_2|Waves defeated: {reg0}/{reg1}
str_dresden_2_1|Squares destroyed: {reg0}/{reg1}
str_dresden_2_2|Lines destroyed: {reg0}/{reg1}
str_cutscene_vienna_1|The Danube River, the second longest in Europe, divides the Austrian Empire in two. ^Following their failure in the Ulm campaign, the Austrian Army is retreating across the river at Vienna.
str_cutscene_vienna_2|The French advance guard, however, is not far behind. ^All other bridges being destroyed, the crossing at Vienna is vital for the French.
str_cutscene_vienna_3|Should the Austrians notice a French attempt at crossing they will blow up the bridge. ^If they succeed, the French will be unable to pursue the retreating allied army and the victory at Ulm will be for nothing.
str_cutscene_vienna_4|As such the French marshals, Murat and Lannes, are in a though spot; ^They need to get across the bridge without the Austrians noticing.
str_cutscene_vienna_5|To do so, they have decided to deploy a ruse: ^Murat and Lannes will attempt to convince the Austrians that a truce has already been signed.
str_cutscene_vienna_6|Meanwhile, you will have to silently clear the bridge so the army can cross...
str_cutscene_austerlitz_1_1|You arrive at the battlefield near the village of Sokolnitz. ^Scouts report the Russians have captured the village and you are to retake it.
str_cutscene_austerlitz_1_2|Look! Someone is approching.
str_cutscene_austerlitz_1_3|Messenger: 'The Russians have capture the village! It is vital that you retake it!'
str_cutscene_austerlitz_1_4|It would seem the battle is closer than we thought. ^Very well then, retake the village from the Russians!
str_cutscene_austerlitz_1_5|The village is back under French control, well done! ^But the Russians are already sending soldiers to recapture it, make sure they won't succeed.
str_cutscene_austerlitz_1_6|Reinforcements have arrived!
str_cutscene_austerlitz_1_7|You have successfully defended the village form the enemy. ^This will greatly help us on our path to victory!
str_cutscene_austerlitz_1_8|Another messenger!
str_cutscene_austerlitz_1_9|Messenger: 'The general has heard of your great success in capturing and holding the village ^You'd better go and tell the Emperor himself of these good news!
str_cutscene_dresden_1_1|The City of Dresden, Capitol of Saxony. ^The city is under heavy attack by Coalition forces and you have to help saving it.
str_cutscene_dresden_1_2|The Russians have already taken the walls and more of them are preparing an assault on the gates. ^Your orders are to clear the walls while your allies move and hold the gates.
str_cutscene_dresden_1_3|The walls are safe for now, but the threat to the city is not yet averted. ^Your allies by the gate can't hold out much longer, you need to help them!
str_cutscene_dresden_1_4|The first assault has been broken down, but the enemy is already sending more men to attack. ^You must not let them get past the gate again!
str_cutscene_dresden_1_5|The Russian attack lines are growing thinner and the pressure on the walls are easying. ^The general have been able to spare some men to support you.
str_cutscene_dresden_1_6|The assault has come to a stop and the enemy are in disarray. ^Use this oportunity to sally out and drive the enemy away from the city!
str_cutscene_dresden_2_1|While the defense of the city was a success, the outlying farms and villages are still in enemy hands. ^Your orders are to liberate this village from Austrian control.
str_cutscene_dresden_2_2|But to do so, you must first clear the area of any Austrians still out in the open. ^Scout report that there is a group of four companies ahead of your position.
str_cutscene_dresden_2_3|Unfortunatly they have already noticed your dragoons and have formed squares to face the threat. ^This will be a though fight, as your infantry and artillery are still way behind and cannot support you.
str_cutscene_dresden_2_4|But it seems that the Austrian commander have ventured a bit too far from his troops! ^If you can capture him, his men might lose heart and the figthing ahead will be easier...
str_cutscene_dresden_2_5|The squares have been defeated, but the enemy still holds the village. ^It is time to attack and capture it.
str_cutscene_dresden_2_6|Luckily more cavalry is arriving to support you. ^Use it well and victory will be ours. En avant!
str_mission_briefing_1|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_2|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_3|August 26, 1813^We are preparing to march on Drezden, where our small garrison was formerly besieged by the far ^superior forces of the Allies. Artillery fire is reported to be so powerful that window glass ^shakes even 10 kilometers from the city.^^The original plan was to raid and disrupt Allied communications, ^but the Emperor revised his plan two days ago when he learned of a threat on the Saxon capital. ^When he discovered the scale of the threat, he sent us to save the city, while the bulk of his ^forces proceeded with General Vandamme to continue with the raid as originally planned.^It is no surprise that the Allied forces will attempt to seize Dresden. Its defenses are miserable, ^and the garrison is quite insufficient. But Napoleon intends to give the Allies an unpleasant ^surprise of their own, for the Allies are not scouting anywhere near the area that we are approaching from.^^We have a strong force, and numerous cavalry guided by Prince Murat himself. Unfortunately, ^the weather seems to be getting worse and worse, and it probably will be raining by the time ^we reach Dresden. Under such circumstances, the benefits we might reap from our superior cavalry ^will significantly decrease.^^Myself, I welcome the battle. Finally we may take our revenge upon the Russians, for what we have ^suffered these past six months. I have tried to forget what horrors we witnessed on the way from ^Moscow to Berezina, but the images still come unbidden to my mind. These nightmares shall likely ^pursue me to the end of my days. ^We must win this battle, and this war, that our comrades shall not have died in vain.
str_mission_briefing_4|September 5, 1812^^I grow tired of this war. The march has been tolerable, but the past few days were difficult, ^and I am only now recovering from an illness. Blast, the climate is terrible! Scorching hot days, ^cold nights, dry air. There are no more Russian peasants to be seen. Theyâ€™ve burned their houses and fled, ^leaving little to sustain us on the long march towards Moscow.^^Our men grow tired as well. For too long, they have been biting at the heels of a fleeing enemy. ^But they are cheerful that the march is nearing its end, and gladly greet the coming battle. ^We call the Russians cowards, and imagine a swift victory, that we may return to the arms of our loved ones. ^Our soldiers even ask permission to wear parade uniforms into the battle. Our hopes and weariness have ^blinded us: the men do not see that the most difficult challenge is yet to come.^^Meanwhile, the Russian soldiers have halted their retreat, and instead are digging in for the final stand.^^Their preparations are covered by a great redoubt at Shevardino. It is well away from their rear positions, ^which makes it a fine target. Marshall Davout has received orders to capture the redoubt as quickly as ^possible. I am to join the troops of General Compans in this attack, to ensure that everything goes as planned.^^But I am wary. Never before have I seen such fortifications! I have grown certain that these Russians ^are no cowards. ^They will retreat no further, but will defend their Moscow to the dying breath.
str_mission_briefings_end|mission briefings end
str_map_changed|Смена карты
str_round_changed|Начался новый раунд.
str_teamkilled_s1_s2_horse|{s1} убил коня дружественного игрока {s2}
str_teamwounded_s1_s2|{s1} поразил дружественного {s2}, отняв {reg60} здоровья.
str_teamwounded_s1_s2_horse|{s1} поразил коня игрока {s2}, отняв {reg60} здоровья.
str_revive_player|Воскресить игрока.
str_revive_all|Воскресить всех
str_revive_player_s2_s3|{s2} воскресил игрока {s3}.
str_revive_all_s2|{s2} воскресил всех.
str_cheat_god_mode|Режим Бога.
str_cheat_god_mode_s3_s2|{s2} активировал режим Бога для {s3}.
str_cheat_god_mode_s3_s2_2|{s2} отключил режим Бога для {s3}.
str_suicide_player|Самоубийство
str_s2_suicide|{s2} совершил самоубийство.
str_admin_set_limit_surgeon_s0_reg1|{s0} Установить классовый лимит для хирургов на уровне {reg1} % игроков команды.
str_limit_surgeon|Лимит для хирургов в каждой команде (%):
str_admin_set_limit_arty_train_s0_reg1|{s0} Установить классовый лимит для артиллерийского поезда на уровне {reg1} % игроков команды.
str_limit_arty_train|Лимит для артиллерийского поезда в каждой команде (%):
str_admin_set_groupfight_mode_s0_s9|{s0} Установить использование режима групповой схватки на {s9}.
str_groupfight_mode|Отключить огнестрельное оружие (групповая схватка)
str_admin_set_competitive_score_mode_s0_s9|{s0} Set the Competitive Score mode to {s9}.
str_competitive_score_mode|Competitive score mode
str_more_admin_tools|Больше Админских инструментов
str_choose_an_admin_tool|Выберите админский инструмент:
str_spawn_player|Заспаунить игрока
str_spawn_all|Заспаунить всех
str_spawn_all_s2|{s2} заспаунил всех.
str_spawn_player_s2_s3|{s2} заспаунил игрока {s3}.
str_welcome_message_toggle|Приветственное сообщение установлено на {s9}.
str_commit_suicide|Уверены ли вы что хотите умереть?
str_no_line_inf_spread|Отменить использование рассыпного строя линейной пехотой.
str_admin_set_no_line_inf_spread_s0_s9|{s0} Установить отмену использования рассыпного строя линейной пехотой на {s9}.
str_line_inf_spread|Настройки этого сервера не позволяют линейной пехоте рассыпаться реже, чем в изначально используемой формации.
str_num_custom_maps|Выберите #  доступных случайных карт.
str_admin_set_num_custom_maps_s0_reg1|{s0} Установить количество доступных для выбора случайных карт на {reg1}.
str_no_rambo|Отключить нанесение игроку урона при отдалении от его отряда.
str_no_rambo_warning|Вы слишком далеко от Вашего отряда и не можете наносить урон противнику.
str_admin_set_no_rambo_s0_s9|{s0} Установить расстояние между игроком и его отрядом, при превышении которого у игрока будет отключаться нанесение урона, на {s9}.
str_no_rambo_range|Максимальное расстояние до собственного отряда в метрах (рэмбоинг):
str_admin_set_no_rambo_range_s0_reg1|{s0} Установить максимальное расстояние от игрока до его отряда на {reg1} метров (анти-рэмбоинг).
str_set_admin_true_s2|{s2} произведен в админы белым списком админов.
str_set_admin_false_s2|Админство{s2}отобрано, он более не в белом списке.
str_return_set_admin_true_s2|{s2}, Вы произведены в админы белым списком админов.
str_return_set_admin_false_s2|{s2}, Ваше админство было отобрано белым списком админов.
str_admin_white_list_is_enabled|Белый список админов активирован.
str_admin_white_list_is_disabled|Белый список админов отключен.
str_admin_white_list_added_key_reg0|Добавлен ключ: {reg0} в белый список админов.
str_healed_player_s2_reg4_reg5|Вы вылечили игрока {s2} на {reg4}%, здоровье на данный момент: {reg5}%.
str_healed_player_full_s2_reg4|Вы вылечили игрока {s2} на {reg4}%, и тот теперь полностью здоров!.
str_healed_player_no_more_s2_reg4|Вы вылечили игрока {s2} на {reg4}%, и дальнейшее лечение невозможно.
str_not_healed_player_full_s2|Игрок {s2} уже полностью здоров.
str_not_healed_player_no_more_s2|Игрока {s2} невозможно продолжать лечить.
str_got_healed_player_s2_reg4_reg5|Игрок {s2} вылечил Вас на {reg4}%, текущее здоровье: {reg5}%.
str_got_healed_player_full_s2_reg4|Игрок {s2} вылечил Вас на {reg4}%, и теперь Вы полностью здоровы!
str_got_healed_player_no_more_s2_reg4|Игрок {s2} вылечил Вас на {reg4}%, и дальнейшее лечение невозможно.
str_not_got_healed_player_full_s2|Игрок {s2} не может лечить Вас, поскольку Вы уже полностью здоровы.
str_not_got_healed_player_no_more_s2|Игрок {s2} не может вылечить Вас, поскольку Ваше дальнейшее лечение невозможно.
str_healed_player_horse_s2_reg4_reg5|Вы вылечили коня игрока {s2} на {reg4}%, текущее состояние здоровья: {reg5}%.
str_healed_player_horse_full_s2_reg4|Вы вылечили коня игрока {s2} на {reg4}%, и тот теперь полностью здоров!
str_healed_player_horse_no_more_s2_reg4|Вы вылечили коня игрока {s2} на {reg4}%, и его дальнейшее лечение невозможно!
str_not_healed_player_horse_full_s2|Конь игрока {s2} уже полностью здоров.
str_not_healed_player_horse_no_more_s2|Конь игрока {s2} не может более лечиться.
str_got_healed_player_horse_s2_reg4_reg5|Игрок {s2} вылечил Вашего коня на {reg4}%, текущее состояние здоровья коня: {reg5}%.
str_got_healed_player_horse_full_s2_reg4|Игрок {s2} вылечил Вашего коня на {reg4}%, и теперь Ваш конь полностью здоров.
str_got_healed_player_horse_no_more_s2_reg4|Игрок {s2} вылечил Вашего коня на {reg4}%, и его невозможно более лечить.
str_not_got_healed_player_horse_full_s2|Игрок {s2} не может более лечить Вашего коня, поскольку тот уже полностью здоров.
str_not_got_healed_player_horse_no_more_s2|Игрок {s2} не может более лечить Вашего коня, поскольку того невозможно более лечить.
str_healed_horse_s2_reg4_reg5|Вы вылечили {s2} коня на {reg4}%, текущее  соостояние здоровья: {reg5}%.
str_healed_horse_full_s2_reg4|Вы вылечили {s2} коня на {reg4}%, и теперь тот полностью здоров.
str_healed_horse_no_more_s2_reg4|Вы вылечили {s2} коня на {reg4}%, и его невозможно дальше лечить.
str_not_healed_horse_full_s2| Конь игрока {s2} уже полностью здоров.
str_not_healed_horse_no_more_s2|Конь игрока {s2} не может более лечиться.
str_royale_weapon_musket|Подобрать ружье
str_royale_weapon_pistol|Подобрать пистолет
str_royale_weapon_carabine|Подобрать карабин
str_royale_weapon_smallsword|Подобрать тесак
str_royale_weapon_bigsword|Подобрать шпагу
str_royale_weapon_bottle|Подобрать бутылку
str_royale_weapon_axe|Подобрать топор
str_royale_weapon_spear|Подобрать древковое оружие
str_royale_weapon_club|Подобрать дубину
str_royale_weapon_tool|Подобрать инструмент
str_royale_weapon_ramrod|Подобрать баник
str_royale_weapon_lighter|Подобрать фитиль
str_royale_weapon_ammo|Взять аммуницию
str_royale_weapon_ammo_pistol|Взять патроны для пистолета
str_royale_weapon_ammo_musket|Взять патроны для ружья
str_welcome_message_server|Добро пожаловать, {s3}, Ваше пользовательское ID  - {reg44}. Просим соблюдать правила сервера! Наслаждайтесь игрой!
