str_no_string|Kein String
str_tutorial_info_9|Good! As you can see you are now crouching. Since you are also in 'melee mode' you can see that your character is bracing his bayonet. This is very effective against frontal cavalry attacks.^Rise up to continue. To do so, either press 'Z' again or simply use any of the movement keys.
str_tutorial_info_10|Now on to attacking and defending. To attack, press the left mouse button while moving the mouse in the direction you wish to attack. Your bayoneted musket only has two directions: up and down. Other weapons may have other directions. Swords, for example, have four attack directions: up, down, left and right. To release your attack, let go of the left mouse button.^Defense works in a similar fashion. Hold the right mouse button while moving the mouse in the direction you wish to block. All weapons can block in all four directions. Make sure you are blocking your enemy's attack from the right direction, or the frogs will make quick work of you.^^Now practice with your bayonet by destroying all the dummies in the area.
str_tutorial_info_11|Well done!
str_tutorial_info_12|Now that you have mastered the basics of infantry combat, we will move on to cavalry.^You have been given some rather splendidly polished equipment and a magnificent horse. To mount said horse, walk up to it and press 'F'.
str_tutorial_info_13|So you have mounted up? Excellent. To move while mounted you will maintain the use of the 'WASD' keys, but the basics of movement is slightly different: 'W' will increase your speed and 'S' will decrease it; while 'A' and 'D' will turn your horse. By moving the mouse you may look around - but doing so will not automatically turn the horse. Try this now by moving to were the arrow points.
str_tutorial_info_14|Marvelous! Now bring the horse to a stop. It is time to do some horseback shooting. See those targets in the distance? Shooting on horseback is very similar to shooting on foot, so use what you have learned before to hit any one of the targets.
str_tutorial_info_15|Oh hell and buckshot! You have missed! Do not worry though, you can reload and try again, just as before. But remember, the rule that you have to be still while firing counts on horseback as well. You can try again, once you have reloaded your firearm.
str_tutorial_info_16|Now you have got it! You can keep practicing some more, if you wish.^^Once you are ready to proceed, we will cover the basic joys of horseback melee. You will require a sword for this. To switch to the sword, scroll your mouse wheel upwards.
str_tutorial_info_17|Bravo! You can keep firing if you wish. Just remember, the rule that you have to be stationary while firing counts on horseback as well.^^Once you are ready to proceed, we will cover the basic joys of horseback melee. You will require a sword for this. To switch to the sword, scroll your mouse wheel upwards.
str_tutorial_info_18|Just like shooting, melee fighting on horseback is similar to fighting on foot. So ride alongside those dummies and destroy them.^Try to hit them while maintaining movement, as standing still takes away your advantage in speed and maneuverability. If you time your strikes right, you can hit the enemy and be well away before the blighter even knows he is dead.
str_tutorial_info_19|Splendid! You now know the most important aspects of cavalry fighting.
str_tutorial_info_20|Finally! It is time for some artillery training.^Walk up to the cannon and take some ammunition from the box.^^There are three main types of ammunition:^Round shot is a multi-purpose shot that is especially useful against buildings;^Canister shots release a hail of grapeshot that kills anyone right in front of the cannon, but it is notoriously ineffective at hitting long rang targets;^Explosive shells are extremely effective against enemy troops, as they explode sending metal fragments flying in all directions. Explosive shells however, are not available for standard cannons.
str_tutorial_info_21|Put the ammunition into the barrel from the front of the cannon. To do so, look at the front, once you see the text 'Place Ammunition', hold down 'F' until the progress bar reaches the end.
str_tutorial_info_22|Now you need to use your ramrod to reload the cannon. Again, look at the front of the barrel and hold 'F' until done.
str_tutorial_info_23|Before you can fire, you will want to push the cannon forward. To do so, look at it and hold down 'F'.
str_tutorial_info_24|Finally, look at the back of the barrel until you see the message 'Take Control'. Then press 'F' to take control of the cannon.
str_tutorial_info_25|Now you control the cannon sir! Again, use the mouse to aim. Pressing the Left Mouse Button will fire the cannon and pressing the Right Mouse Button will cancel control, but for now, press the LMB to fire.
str_tutorial_info_26|This is the end of the tutorial. You now know all the basics of fighting in Mount&Blade: Napoleonic Wars. Press 'Tab' to leave this tutorial when you are ready.^^Good luck on the battlefield, sir! Dismissed for tea and crumpets!
str_vienna_1|Crates cleared: {reg0}/{reg1}
str_austerlitz_1_1|Waves defeated: {reg0}/{reg1}
str_dresden_1_1|Attackers defeated: {reg0}/{reg1}
str_dresden_1_2|Waves defeated: {reg0}/{reg1}
str_dresden_2_1|Squares destroyed: {reg0}/{reg1}
str_dresden_2_2|Lines destroyed: {reg0}/{reg1}
str_cutscene_vienna_1|The Danube River, the second longest in Europe, divides the Austrian Empire in two. ^Following their failure in the Ulm campaign, the Austrian Army is retreating across the river at Vienna.
str_cutscene_vienna_2|The French advance guard, however, is not far behind. ^All other bridges being destroyed, the crossing at Vienna is vital for the French.
str_cutscene_vienna_3|Should the Austrians notice a French attempt at crossing they will blow up the bridge. ^If they succeed, the French will be unable to pursue the retreating allied army and the victory at Ulm will be for nothing.
str_cutscene_vienna_4|As such the French marshals, Murat and Lannes, are in a though spot; ^They need to get across the bridge without the Austrians noticing.
str_cutscene_vienna_5|To do so, they have decided to deploy a ruse: ^Murat and Lannes will attempt to convince the Austrians that a truce has already been signed.
str_cutscene_vienna_6|Meanwhile, you will have to silently clear the bridge so the army can cross...
str_cutscene_austerlitz_1_1|You arrive at the battlefield near the village of Sokolnitz. ^Scouts report the Russians have captured the village and you are to retake it.
str_cutscene_austerlitz_1_2|Look! Someone is approching.
str_cutscene_austerlitz_1_3|Messenger: 'The Russians have capture the village! It is vital that you retake it!'
str_cutscene_austerlitz_1_4|It would seem the battle is closer than we thought. ^Very well then, retake the village from the Russians!
str_cutscene_austerlitz_1_5|The village is back under French control, well done! ^But the Russians are already sending soldiers to recapture it, make sure they won't succeed.
str_cutscene_austerlitz_1_6|Reinforcements have arrived!
str_cutscene_austerlitz_1_7|You have successfully defended the village form the enemy. ^This will greatly help us on our path to victory!
str_cutscene_austerlitz_1_8|Another messenger!
str_cutscene_austerlitz_1_9|Messenger: 'The general has heard of your great success in capturing and holding the village ^You'd better go and tell the Emperor himself of these good news!
str_cutscene_dresden_1_1|The City of Dresden, Capitol of Saxony. ^The city is under heavy attack by Coalition forces and you have to help saving it.
str_cutscene_dresden_1_2|The Russians have already taken the walls and more of them are preparing an assault on the gates. ^Your orders are to clear the walls while your allies move and hold the gates.
str_cutscene_dresden_1_3|The walls are safe for now, but the threat to the city is not yet averted. ^Your allies by the gate can't hold out much longer, you need to help them!
str_cutscene_dresden_1_4|The first assault has been broken down, but the enemy is already sending more men to attack. ^You must not let them get past the gate again!
str_cutscene_dresden_1_5|The Russian attack lines are growing thinner and the pressure on the walls are easying. ^The general have been able to spare some men to support you.
str_cutscene_dresden_1_6|The assault has come to a stop and the enemy are in disarray. ^Use this oportunity to sally out and drive the enemy away from the city!
str_cutscene_dresden_2_1|While the defense of the city was a success, the outlying farms and villages are still in enemy hands. ^Your orders are to liberate this village from Austrian control.
str_cutscene_dresden_2_2|But to do so, you must first clear the area of any Austrians still out in the open. ^Scout report that there is a group of four companies ahead of your position.
str_cutscene_dresden_2_3|Unfortunatly they have already noticed your dragoons and have formed squares to face the threat. ^This will be a though fight, as your infantry and artillery are still way behind and cannot support you.
str_cutscene_dresden_2_4|But it seems that the Austrian commander have ventured a bit too far from his troops! ^If you can capture him, his men might lose heart and the figthing ahead will be easier...
str_cutscene_dresden_2_5|The squares have been defeated, but the enemy still holds the village. ^It is time to attack and capture it.
str_cutscene_dresden_2_6|Luckily more cavalry is arriving to support you. ^Use it well and victory will be ours. En avant!
str_mission_briefing_1|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_2|December 1, 1805^It was a fine respite, but now we march once again. Praise God this will be our final effort! ^It is said that we shall march directly into the battle.^^Our time on the outskirts of Vienna was surely the finest days of the campaign. Rich villages ^with large, clean houses, wonderful food and wine -- and of course the pretty girls all helped us ^replenish our energies.^We had been shaken by the endless marches through terrible weather. Exhausted by our pursuit ^of the retreating Allied forces. It was good to forget, for a little while.^^But our peaceful rest ended abruptly; we received the order to rejoin the main army as quickly as ^possible, and now we march madly to battle once more. In a forced march we have left nearly half ^of the regiment behind, but general Friant is determined to arrive to the battlefield on time, ^and will not pause for our supporting forces to rejoin us.^^The Allies are said to greatly outnumber our own troops, especially in cavalry. It seems that the ^battle will be defensive this time, but the situation remains unclear. A messenger from the Emperors ^headquarters informed us, as he rode past our column, that our rear guard had been driven back ^near a place called Vishau, and were retreating towards Austerlitz^^I dare not speak of it, but thoughts of the upcoming battle fill me with terror. Marengo was the last ^Well, I should say the only large battle I took part in, and this was almost 5 years ago. I still ^remember the horrible things I saw that day; it makes my body shake to think of it. ^Luckily, I have been able to conceal my feelings thus far; ^our men despise cowardice, and treat it as treason.
str_mission_briefing_3|August 26, 1813^We are preparing to march on Drezden, where our small garrison was formerly besieged by the far ^superior forces of the Allies. Artillery fire is reported to be so powerful that window glass ^shakes even 10 kilometers from the city.^^The original plan was to raid and disrupt Allied communications, ^but the Emperor revised his plan two days ago when he learned of a threat on the Saxon capital. ^When he discovered the scale of the threat, he sent us to save the city, while the bulk of his ^forces proceeded with General Vandamme to continue with the raid as originally planned.^It is no surprise that the Allied forces will attempt to seize Dresden. Its defenses are miserable, ^and the garrison is quite insufficient. But Napoleon intends to give the Allies an unpleasant ^surprise of their own, for the Allies are not scouting anywhere near the area that we are approaching from.^^We have a strong force, and numerous cavalry guided by Prince Murat himself. Unfortunately, ^the weather seems to be getting worse and worse, and it probably will be raining by the time ^we reach Dresden. Under such circumstances, the benefits we might reap from our superior cavalry ^will significantly decrease.^^Myself, I welcome the battle. Finally we may take our revenge upon the Russians, for what we have ^suffered these past six months. I have tried to forget what horrors we witnessed on the way from ^Moscow to Berezina, but the images still come unbidden to my mind. These nightmares shall likely ^pursue me to the end of my days. ^We must win this battle, and this war, that our comrades shall not have died in vain.
str_mission_briefing_4|September 5, 1812^^I grow tired of this war. The march has been tolerable, but the past few days were difficult, ^and I am only now recovering from an illness. Blast, the climate is terrible! Scorching hot days, ^cold nights, dry air. There are no more Russian peasants to be seen. Theyâ€™ve burned their houses and fled, ^leaving little to sustain us on the long march towards Moscow.^^Our men grow tired as well. For too long, they have been biting at the heels of a fleeing enemy. ^But they are cheerful that the march is nearing its end, and gladly greet the coming battle. ^We call the Russians cowards, and imagine a swift victory, that we may return to the arms of our loved ones. ^Our soldiers even ask permission to wear parade uniforms into the battle. Our hopes and weariness have ^blinded us: the men do not see that the most difficult challenge is yet to come.^^Meanwhile, the Russian soldiers have halted their retreat, and instead are digging in for the final stand.^^Their preparations are covered by a great redoubt at Shevardino. It is well away from their rear positions, ^which makes it a fine target. Marshall Davout has received orders to capture the redoubt as quickly as ^possible. I am to join the troops of General Compans in this attack, to ensure that everything goes as planned.^^But I am wary. Never before have I seen such fortifications! I have grown certain that these Russians ^are no cowards. ^They will retreat no further, but will defend their Moscow to the dying breath.
str_mission_briefings_end|mission briefings end
str_map_changed|Map ändern
str_round_changed|neue Runde hat begonnen
str_teamkilled_s1_s2_horse|{s1} hat {s2} sein Pferd umgebracht
str_teamwounded_s1_s2|{s1} hat {s2} {reg60} schaden zugefügt.
str_teamwounded_s1_s2_horse|{s1} hat {s2}'s pferd {reg60} schaden zugefügt.
str_revive_player|Wiederbelebe Spieler
str_revive_all|Wiederbelebe Alle
str_revive_player_s2_s3|{s2} Wiederbelebe spieler {s3}.
str_revive_all_s2|{s2} Wiederbelebe alle
str_cheat_god_mode|Gott modus
str_cheat_god_mode_s3_s2|{s2} hat den Gott modus für {s3} angemacht
str_cheat_god_mode_s3_s2_2|{s2} hat den Gott modus fpr {s3} ausgemacht
str_suicide_player|Selbstmord
str_s2_suicide|{s2} Hat selbstmord beganngen
str_admin_set_limit_surgeon_s0_reg1|{s0} hat das limit für medizinmänner auf {reg1} % des teams gesetzt.
str_limit_surgeon|Limit für medizinmänner im team (%):
str_admin_set_limit_arty_train_s0_reg1|{s0} Setze das limit für artillery klassen zu {reg1} % des teams
str_limit_arty_train|Limit der artillery(%):
str_admin_set_groupfight_mode_s0_s9|{s0} Setze gruppenkämpfer modus auf {s9}.
str_groupfight_mode|verbiete waffen mit einer höhere reichweite als ein waffe die nicht schießen kann (groupfighting)
str_admin_set_competitive_score_mode_s0_s9|{s0} mach den super modus an {s9}.
str_competitive_score_mode|super modus
str_more_admin_tools|Mehr Admin werkzeuge
str_choose_an_admin_tool|wähle ein admin werkzeug
str_spawn_player|Bringe ein spieler ins spiel
str_spawn_all|bringe alle spieler ins spiel
str_spawn_all_s2|{s2} hat alle spieler ins spiel gebracht
str_spawn_player_s2_s3|{s2} hat spieler {s3} in spiel gebracht
str_welcome_message_toggle|Willkommen nachricht ist: {s9}.
str_commit_suicide|Bist du dir sicher, das du sterben willst?
str_no_line_inf_spread|Verhindere das spieler eine lose formation mit linineninfanterie einnehmen können
str_admin_set_no_line_inf_spread_s0_s9|{s0} hat das lose formations features dingens auf {s9} gesetzt.
str_line_inf_spread|Die derzeitigen servereinstelllungen erlauben es nicht, die linieninfanterie lose aufzustellen
str_num_custom_maps|Wähle die nummer der verfügbaren personaliserten karten 
str_admin_set_num_custom_maps_s0_reg1|{s0} setze die Zahl der verifizierten personalisierten Karten auf: {reg1}. 
str_no_rambo|verhindere, das spieler schaden zufügen kann, wenn sie sich von der eigenen einheit entfernen
str_no_rambo_warning|Du bist zu weit von deiner Einheit entfernt, du kannst dir keinen Schaden zufügen
str_admin_set_no_rambo_s0_s9|{s0} sätze die Verhinderungen schaden zufügen können: {s9}. 
str_no_rambo_range|maximalle reichweite eines spielers der nicht ganz so schön ist: 
str_admin_set_no_rambo_range_s0_reg1|{s0} sätze die maximale Anzahl an Daten, die nicht auf dem Bildschirm angezeigt werden. 
str_set_admin_true_s2|{s2} wird von der Whitelist admin gesetzt. 
str_set_admin_false_s2|{s2} 's Admin wurde entfernt, nicht auf Whitelist. 
str_return_set_admin_true_s2|{s2}, Sie werden von der Administrator-Whitelist admin gesetzt. 
str_return_set_admin_false_s2|{s2}, Ihr Administrator wurde von der Administrator-Whitelist entfernt. 
str_admin_white_list_is_enabled|Admin-Whitelist ist aktiviert. 
str_admin_white_list_is_disabled|Admin-Whitelist ist deaktiviert. 
str_admin_white_list_added_key_reg0|Hinzugefügt: {reg0} zur Admin-Whitelist. 
str_healed_player_s2_reg4_reg5|Geheilter Spieler {s2} für {reg4}%, aktueller Status: {reg5}%. 
str_healed_player_full_s2_reg4|Geheilter Spieler {s2} für {reg4}% und jetzt vollständig geheilt 
str_healed_player_no_more_s2_reg4|Geheilter Spieler {s2} für {reg4}% und kann nicht weiter geheilt werden. 
str_not_healed_player_full_s2|Spieler {s2} ist bereits vollständig geheilt 
str_not_healed_player_no_more_s2|Spieler {s2} kann nicht weiter geheilt werden. 
str_got_healed_player_s2_reg4_reg5|Spieler {s2} hat dich für {reg4}% geheilt, aktueller Status: {reg5}%. 
str_got_healed_player_full_s2_reg4|Spieler {s2} hat dich um {reg4}% geheilt, du bist jetzt vollständig geheilt 
str_got_healed_player_no_more_s2_reg4|Spieler {s2} hat dich um {reg4}% geheilt, du kannst nicht weiter geheilt werden. 
str_not_got_healed_player_full_s2|Spieler {s2} kann dich nicht heilen, du bist bereits vollständig geheilt. 
str_not_got_healed_player_no_more_s2|Spieler {s2} kann dich nicht heilen, du kannst nicht weiter geheilt werden. 
str_healed_player_horse_s2_reg4_reg5|Geheiltes Pferd des Spielers {s2} für {reg4}%, aktueller Status: {reg5}%. 
str_healed_player_horse_full_s2_reg4|Geheiltes Pferd des Spielers {s2} um {reg4}%, und er ist nun vollständig geheilt 
str_healed_player_horse_no_more_s2_reg4|Geheiltes Pferd des Spielers {s2} um {reg4}%, und er kann nicht weiter geheilt werden. 
str_not_healed_player_horse_full_s2|Das Pferd von Spieler {s2} ist bereits vollständig geheilt. 
str_not_healed_player_horse_no_more_s2|Das Pferd von Spieler {s2} kann nicht weiter geheilt werden. 
str_got_healed_player_horse_s2_reg4_reg5|Spieler {s2} hat dein Pferd um {reg4}%, den aktuellen Gesundheitszustand geheilt: {reg5}%. 
str_got_healed_player_horse_full_s2_reg4|Spieler {s2} hat dein Pferd um {reg4}% geheilt und er ist vollständig geheilt 
str_got_healed_player_horse_no_more_s2_reg4|Spieler {s2} hat dein Pferd um {reg4}% geheilt und kann nicht weiter geheilt werden. 
str_not_got_healed_player_horse_full_s2|Spieler {s2} kann dein Pferd nicht heilen, er ist bereits vollständig geheilt 
str_not_got_healed_player_horse_no_more_s2|Spieler {s2} kann dein Pferd nicht heilen, er kann nicht weiter geheilt werden. 
str_healed_horse_s2_reg4_reg5|Geheiltes {s2} Pferd für {reg4}%, aktueller Status: {reg5}%. 
str_healed_horse_full_s2_reg4|Geheiltes {s2} Pferd für {reg4}%, und er ist nun vollständig geheilt 
str_healed_horse_no_more_s2_reg4|Geheiltes {s2} Pferd für {reg4}%, und er kann nicht weiter geheilt werden. 
str_not_healed_horse_full_s2|Spieler {s2} Pferd ist bereits vollständig geheilt 
str_not_healed_horse_no_more_s2|Spieler {s2} Pferd kann nicht weiter geheilt werden. 
str_royale_weapon_musket|Eine Muskete aufnehmen 
str_royale_weapon_pistol|Hebe eine Pistole auf 
str_royale_weapon_carabine|Hol dir einen Karabiner 
str_royale_weapon_smallsword|Hebe ein kleines Schwert auf 
str_royale_weapon_bigsword|Hebe ein Schwert auf 
str_royale_weapon_bottle|Sammle eine Flasche ein 
str_royale_weapon_axe|Nimm eine Axt auf 
str_royale_weapon_spear|Hebe eine Stangenwaffe auf 
str_royale_weapon_club|Hol dir einen Club 
str_royale_weapon_tool|Werkzeug aufnehmen 
str_royale_weapon_ramrod|Hol dir einen Ladestock 
str_royale_weapon_lighter|Hebe ein Feuerzeug auf 
str_royale_weapon_ammo|Schnapp dir etwas Munition 
str_royale_weapon_ammo_pistol|Schnapp dir eine Pistolenmunition 
str_royale_weapon_ammo_musket|Schnapp dir Musketenmunition 
str_welcome_message_server|Willkommen, {s3}, Ihre Benutzer-ID lautet {reg44}. Bitte folgen Sie den Serverregeln und genießen Sie Ihren Aufenthalt! 
